model,experiment,year,tas
ACCESS-CM2,historical,1960,284.67315674
ACCESS-CM2,historical,1961,285.70861816
ACCESS-CM2,historical,1962,285.06475830
ACCESS-CM2,historical,1963,286.48965454
ACCESS-CM2,historical,1964,284.86050415
ACCESS-CM2,historical,1965,286.12631226
ACCESS-CM2,historical,1966,284.54891968
ACCESS-CM2,historical,1967,287.05154419
ACCESS-CM2,historical,1968,285.91940308
ACCESS-CM2,historical,1969,285.65304565
ACCESS-CM2,historical,1970,285.27822876
ACCESS-CM2,historical,1971,285.52529907
ACCESS-CM2,historical,1972,284.70321655
ACCESS-CM2,historical,1973,286.11163330
ACCESS-CM2,historical,1974,285.47277832
ACCESS-CM2,historical,1975,284.79962158
ACCESS-CM2,historical,1976,286.27224731
ACCESS-CM2,historical,1977,286.13711548
ACCESS-CM2,historical,1978,285.19171143
ACCESS-CM2,historical,1979,285.79992676
ACCESS-CM2,historical,1980,287.30844116
ACCESS-CM2,historical,1981,286.06304932
ACCESS-CM2,historical,1982,285.88284302
ACCESS-CM2,historical,1983,286.13586426
ACCESS-CM2,historical,1984,286.28244019
ACCESS-CM2,historical,1985,286.62109375
ACCESS-CM2,historical,1986,285.06863403
ACCESS-CM2,historical,1987,286.33709717
ACCESS-CM2,historical,1988,286.65557861
ACCESS-CM2,historical,1989,286.92749023
ACCESS-CM2,historical,1990,288.14840698
ACCESS-CM2,historical,1991,287.70205688
ACCESS-CM2,historical,1992,285.21978760
ACCESS-CM2,historical,1993,287.06820679
ACCESS-CM2,historical,1994,288.87887573
ACCESS-CM2,historical,1995,285.39529419
ACCESS-CM2,historical,1996,288.24130249
ACCESS-CM2,historical,1997,286.03421021
ACCESS-CM2,historical,1998,288.03488159
ACCESS-CM2,historical,1999,285.89797974
ACCESS-CM2,historical,2000,284.92855835
ACCESS-CM2,historical,2001,286.26605225
ACCESS-CM2,historical,2002,285.31085205
ACCESS-CM2,historical,2003,286.86804199
ACCESS-CM2,historical,2004,287.85028076
ACCESS-CM2,historical,2005,288.77410889
ACCESS-CM2,historical,2006,284.27786255
ACCESS-CM2,historical,2007,287.19711304
ACCESS-CM2,historical,2008,286.53442383
ACCESS-CM2,historical,2009,284.96856689
ACCESS-CM2,historical,2010,285.43350220
ACCESS-CM2,historical,2011,287.79067993
ACCESS-CM2,historical,2012,286.77838135
ACCESS-CM2,historical,2013,287.48031616
ACCESS-CM2,historical,2014,285.93975830
ACCESS-CM2,ssp126,2015,285.53948975
ACCESS-CM2,ssp126,2016,287.59994507
ACCESS-CM2,ssp126,2017,286.51245117
ACCESS-CM2,ssp126,2018,287.37274170
ACCESS-CM2,ssp126,2019,287.99435425
ACCESS-CM2,ssp126,2020,289.80200195
ACCESS-CM2,ssp126,2021,288.30584717
ACCESS-CM2,ssp126,2022,285.99218750
ACCESS-CM2,ssp126,2023,287.52993774
ACCESS-CM2,ssp126,2024,285.59350586
ACCESS-CM2,ssp126,2025,286.81829834
ACCESS-CM2,ssp126,2026,286.85269165
ACCESS-CM2,ssp126,2027,285.03182983
ACCESS-CM2,ssp126,2028,289.53802490
ACCESS-CM2,ssp126,2029,287.45724487
ACCESS-CM2,ssp126,2030,288.73217773
ACCESS-CM2,ssp126,2031,285.81915283
ACCESS-CM2,ssp126,2032,286.55828857
ACCESS-CM2,ssp126,2033,287.80911255
ACCESS-CM2,ssp126,2034,287.57962036
ACCESS-CM2,ssp126,2035,287.86996460
ACCESS-CM2,ssp126,2036,287.43621826
ACCESS-CM2,ssp126,2037,287.92248535
ACCESS-CM2,ssp126,2038,286.71520996
ACCESS-CM2,ssp126,2039,290.13208008
ACCESS-CM2,ssp126,2040,286.60549927
ACCESS-CM2,ssp126,2041,288.45693970
ACCESS-CM2,ssp126,2042,289.07110596
ACCESS-CM2,ssp126,2043,289.33026123
ACCESS-CM2,ssp126,2044,288.64901733
ACCESS-CM2,ssp126,2045,289.14202881
ACCESS-CM2,ssp126,2046,285.89849854
ACCESS-CM2,ssp126,2047,290.44433594
ACCESS-CM2,ssp126,2048,286.31555176
ACCESS-CM2,ssp126,2049,287.96286011
ACCESS-CM2,ssp126,2050,286.95074463
ACCESS-CM2,ssp126,2051,285.21661377
ACCESS-CM2,ssp126,2052,290.97564697
ACCESS-CM2,ssp126,2053,288.56286621
ACCESS-CM2,ssp126,2054,287.64761353
ACCESS-CM2,ssp126,2055,288.53729248
ACCESS-CM2,ssp126,2056,290.91049194
ACCESS-CM2,ssp126,2057,288.78158569
ACCESS-CM2,ssp126,2058,286.26596069
ACCESS-CM2,ssp126,2059,289.34985352
ACCESS-CM2,ssp126,2060,288.62020874
ACCESS-CM2,ssp126,2061,287.63079834
ACCESS-CM2,ssp126,2062,286.90902710
ACCESS-CM2,ssp126,2063,290.03326416
ACCESS-CM2,ssp126,2064,287.81143188
ACCESS-CM2,ssp126,2065,290.41522217
ACCESS-CM2,ssp126,2066,289.63436890
ACCESS-CM2,ssp126,2067,287.66052246
