model,experiment,year,tas
ACCESS-CM2,historical,1960,275.39053345
ACCESS-CM2,historical,1961,276.73843384
ACCESS-CM2,historical,1962,275.88174438
ACCESS-CM2,historical,1963,275.76251221
ACCESS-CM2,historical,1964,276.21505737
ACCESS-CM2,historical,1965,275.88247681
ACCESS-CM2,historical,1966,275.87091064
ACCESS-CM2,historical,1967,275.59622192
ACCESS-CM2,historical,1968,275.80673218
ACCESS-CM2,historical,1969,276.47912598
ACCESS-CM2,historical,1970,274.76586914
ACCESS-CM2,historical,1971,274.49536133
ACCESS-CM2,historical,1972,275.05798340
ACCESS-CM2,historical,1973,276.06738281
ACCESS-CM2,historical,1974,276.67486572
ACCESS-CM2,historical,1975,274.63403320
ACCESS-CM2,historical,1976,275.78417969
ACCESS-CM2,historical,1977,275.01086426
ACCESS-CM2,historical,1978,275.97686768
ACCESS-CM2,historical,1979,275.60671997
ACCESS-CM2,historical,1980,277.58135986
ACCESS-CM2,historical,1981,276.36834717
ACCESS-CM2,historical,1982,275.71652222
ACCESS-CM2,historical,1983,276.48742676
ACCESS-CM2,historical,1984,274.18118286
ACCESS-CM2,historical,1985,275.47659302
ACCESS-CM2,historical,1986,275.45974731
ACCESS-CM2,historical,1987,277.25192261
ACCESS-CM2,historical,1988,277.32864380
ACCESS-CM2,historical,1989,276.40969849
ACCESS-CM2,historical,1990,278.21679688
ACCESS-CM2,historical,1991,274.36614990
ACCESS-CM2,historical,1992,273.76745605
ACCESS-CM2,historical,1993,276.60830688
ACCESS-CM2,historical,1994,276.30068970
ACCESS-CM2,historical,1995,275.21569824
ACCESS-CM2,historical,1996,273.26855469
ACCESS-CM2,historical,1997,275.69702148
ACCESS-CM2,historical,1998,278.14981079
ACCESS-CM2,historical,1999,274.71716309
ACCESS-CM2,historical,2000,277.06112671
ACCESS-CM2,historical,2001,274.57223511
ACCESS-CM2,historical,2002,275.97680664
ACCESS-CM2,historical,2003,277.10458374
ACCESS-CM2,historical,2004,276.78424072
ACCESS-CM2,historical,2005,276.24392700
ACCESS-CM2,historical,2006,276.16394043
ACCESS-CM2,historical,2007,278.18841553
ACCESS-CM2,historical,2008,274.99288940
ACCESS-CM2,historical,2009,276.99093628
ACCESS-CM2,historical,2010,275.14233398
ACCESS-CM2,historical,2011,276.59896851
ACCESS-CM2,historical,2012,276.32824707
ACCESS-CM2,historical,2013,275.93630981
ACCESS-CM2,historical,2014,277.30270386
ACCESS-CM2,ssp126,2015,276.88690186
ACCESS-CM2,ssp126,2016,277.16043091
ACCESS-CM2,ssp126,2017,276.92391968
ACCESS-CM2,ssp126,2018,276.60260010
ACCESS-CM2,ssp126,2019,276.95486450
ACCESS-CM2,ssp126,2020,278.19140625
ACCESS-CM2,ssp126,2021,275.47274780
ACCESS-CM2,ssp126,2022,274.62799072
ACCESS-CM2,ssp126,2023,277.12414551
ACCESS-CM2,ssp126,2024,276.19387817
ACCESS-CM2,ssp126,2025,275.25180054
ACCESS-CM2,ssp126,2026,278.02529907
ACCESS-CM2,ssp126,2027,275.17813110
ACCESS-CM2,ssp126,2028,276.38040161
ACCESS-CM2,ssp126,2029,277.69613647
ACCESS-CM2,ssp126,2030,275.82458496
ACCESS-CM2,ssp126,2031,274.28527832
ACCESS-CM2,ssp126,2032,276.60375977
ACCESS-CM2,ssp126,2033,276.06057739
ACCESS-CM2,ssp126,2034,277.72067261
ACCESS-CM2,ssp126,2035,275.53179932
ACCESS-CM2,ssp126,2036,277.11956787
ACCESS-CM2,ssp126,2037,278.68542480
ACCESS-CM2,ssp126,2038,276.77868652
ACCESS-CM2,ssp126,2039,277.36465454
ACCESS-CM2,ssp126,2040,277.55783081
ACCESS-CM2,ssp126,2041,276.58880615
ACCESS-CM2,ssp126,2042,277.28399658
ACCESS-CM2,ssp126,2043,277.19424438
ACCESS-CM2,ssp126,2044,275.66824341
ACCESS-CM2,ssp126,2045,278.79409790
ACCESS-CM2,ssp126,2046,276.26522827
ACCESS-CM2,ssp126,2047,277.47137451
ACCESS-CM2,ssp126,2048,277.39761353
ACCESS-CM2,ssp126,2049,277.31808472
ACCESS-CM2,ssp126,2050,274.84500122
ACCESS-CM2,ssp126,2051,278.27899170
ACCESS-CM2,ssp126,2052,277.01165771
ACCESS-CM2,ssp126,2053,278.89291382
ACCESS-CM2,ssp126,2054,276.42053223
ACCESS-CM2,ssp126,2055,276.85760498
ACCESS-CM2,ssp126,2056,278.60311890
ACCESS-CM2,ssp126,2057,277.86434937
ACCESS-CM2,ssp126,2058,278.31973267
ACCESS-CM2,ssp126,2059,278.15707397
