model,experiment,year,tas
ACCESS-CM2,historical,1960,278.02124023
ACCESS-CM2,historical,1961,278.80667114
ACCESS-CM2,historical,1962,278.31555176
ACCESS-CM2,historical,1963,278.39813232
ACCESS-CM2,historical,1964,278.61297607
ACCESS-CM2,historical,1965,278.22183228
ACCESS-CM2,historical,1966,278.40475464
ACCESS-CM2,historical,1967,277.58096313
ACCESS-CM2,historical,1968,278.19265747
ACCESS-CM2,historical,1969,278.34378052
ACCESS-CM2,historical,1970,277.33493042
ACCESS-CM2,historical,1971,276.88034058
ACCESS-CM2,historical,1972,277.73425293
ACCESS-CM2,historical,1973,278.62176514
ACCESS-CM2,historical,1974,278.41836548
ACCESS-CM2,historical,1975,277.33816528
ACCESS-CM2,historical,1976,277.94131470
ACCESS-CM2,historical,1977,277.48181152
ACCESS-CM2,historical,1978,278.40835571
ACCESS-CM2,historical,1979,277.94638062
ACCESS-CM2,historical,1980,279.43240356
ACCESS-CM2,historical,1981,278.94134521
ACCESS-CM2,historical,1982,278.23138428
ACCESS-CM2,historical,1983,278.75946045
ACCESS-CM2,historical,1984,277.07305908
ACCESS-CM2,historical,1985,277.63925171
ACCESS-CM2,historical,1986,278.19515991
ACCESS-CM2,historical,1987,279.18548584
ACCESS-CM2,historical,1988,279.44262695
ACCESS-CM2,historical,1989,278.61743164
ACCESS-CM2,historical,1990,279.77908325
ACCESS-CM2,historical,1991,277.36300659
ACCESS-CM2,historical,1992,276.37289429
ACCESS-CM2,historical,1993,278.94381714
ACCESS-CM2,historical,1994,278.52847290
ACCESS-CM2,historical,1995,278.15582275
ACCESS-CM2,historical,1996,276.07888794
ACCESS-CM2,historical,1997,278.35580444
ACCESS-CM2,historical,1998,279.83868408
ACCESS-CM2,historical,1999,277.57324219
ACCESS-CM2,historical,2000,278.92749023
ACCESS-CM2,historical,2001,277.26788330
ACCESS-CM2,historical,2002,278.07330322
ACCESS-CM2,historical,2003,279.03533936
ACCESS-CM2,historical,2004,279.20275879
ACCESS-CM2,historical,2005,278.51614380
ACCESS-CM2,historical,2006,278.27316284
ACCESS-CM2,historical,2007,279.76058960
ACCESS-CM2,historical,2008,277.65701294
ACCESS-CM2,historical,2009,279.17361450
ACCESS-CM2,historical,2010,277.54656982
ACCESS-CM2,historical,2011,278.76977539
ACCESS-CM2,historical,2012,278.74798584
ACCESS-CM2,historical,2013,278.31045532
ACCESS-CM2,historical,2014,279.63891602
ACCESS-CM2,ssp126,2015,278.96334839
ACCESS-CM2,ssp126,2016,279.22451782
ACCESS-CM2,ssp126,2017,279.32046509
ACCESS-CM2,ssp126,2018,279.24868774
ACCESS-CM2,ssp126,2019,279.39358521
ACCESS-CM2,ssp126,2020,279.97222900
ACCESS-CM2,ssp126,2021,278.60375977
ACCESS-CM2,ssp126,2022,277.42257690
ACCESS-CM2,ssp126,2023,279.15850830
ACCESS-CM2,ssp126,2024,278.31933594
ACCESS-CM2,ssp126,2025,278.30459595
ACCESS-CM2,ssp126,2026,279.89761353
ACCESS-CM2,ssp126,2027,278.28875732
ACCESS-CM2,ssp126,2028,279.10647583
ACCESS-CM2,ssp126,2029,279.73477173
ACCESS-CM2,ssp126,2030,278.78768921
ACCESS-CM2,ssp126,2031,277.01693726
ACCESS-CM2,ssp126,2032,279.08215332
ACCESS-CM2,ssp126,2033,278.62225342
ACCESS-CM2,ssp126,2034,279.75180054
ACCESS-CM2,ssp126,2035,277.88775635
ACCESS-CM2,ssp126,2036,279.62850952
ACCESS-CM2,ssp126,2037,280.43722534
ACCESS-CM2,ssp126,2038,279.09564209
ACCESS-CM2,ssp126,2039,279.55441284
ACCESS-CM2,ssp126,2040,279.68273926
ACCESS-CM2,ssp126,2041,279.17736816
ACCESS-CM2,ssp126,2042,279.61050415
ACCESS-CM2,ssp126,2043,279.30371094
ACCESS-CM2,ssp126,2044,277.92263794
ACCESS-CM2,ssp126,2045,280.59857178
ACCESS-CM2,ssp126,2046,279.04696655
ACCESS-CM2,ssp126,2047,279.99520874
ACCESS-CM2,ssp126,2048,279.48800659
ACCESS-CM2,ssp126,2049,279.66775513
ACCESS-CM2,ssp126,2050,277.02288818
ACCESS-CM2,ssp126,2051,280.60360718
ACCESS-CM2,ssp126,2052,279.53710938
ACCESS-CM2,ssp126,2053,280.88858032
ACCESS-CM2,ssp126,2054,278.71755981
ACCESS-CM2,ssp126,2055,279.29727173
ACCESS-CM2,ssp126,2056,280.76931763
ACCESS-CM2,ssp126,2057,280.08999634
ACCESS-CM2,ssp126,2058,280.30187988
ACCESS-CM2,ssp126,2059,280.03137207
ACCESS-CM2,ssp126,2060,279.92694092
ACCESS-CM2,ssp126,2061,278.99468994
ACCESS-CM2,ssp126,2062,279.50967407
ACCESS-CM2,ssp126,2063,280.25616455
ACCESS-CM2,ssp126,2064,279.70050049
ACCESS-CM2,ssp126,2065,280.39810181
ACCESS-CM2,ssp126,2066,280.66098022
ACCESS-CM2,ssp126,2067,280.53665161
ACCESS-CM2,ssp126,2068,279.59310913
