model,experiment,year,tas
ACCESS-CM2,historical,1960,276.78195190
ACCESS-CM2,historical,1961,277.50119019
ACCESS-CM2,historical,1962,276.99649048
ACCESS-CM2,historical,1963,277.06491089
ACCESS-CM2,historical,1964,277.24768066
ACCESS-CM2,historical,1965,276.88626099
ACCESS-CM2,historical,1966,277.04858398
ACCESS-CM2,historical,1967,276.55340576
ACCESS-CM2,historical,1968,276.76107788
ACCESS-CM2,historical,1969,277.17150879
ACCESS-CM2,historical,1970,276.07891846
ACCESS-CM2,historical,1971,275.39654541
ACCESS-CM2,historical,1972,276.48629761
ACCESS-CM2,historical,1973,277.08703613
ACCESS-CM2,historical,1974,277.36904907
ACCESS-CM2,historical,1975,275.88031006
ACCESS-CM2,historical,1976,276.91430664
ACCESS-CM2,historical,1977,276.57714844
ACCESS-CM2,historical,1978,277.13168335
ACCESS-CM2,historical,1979,276.65930176
ACCESS-CM2,historical,1980,278.23513794
ACCESS-CM2,historical,1981,277.64245605
ACCESS-CM2,historical,1982,276.86126709
ACCESS-CM2,historical,1983,277.40902710
ACCESS-CM2,historical,1984,276.04748535
ACCESS-CM2,historical,1985,276.41247559
ACCESS-CM2,historical,1986,277.04739380
ACCESS-CM2,historical,1987,277.48507690
ACCESS-CM2,historical,1988,278.04870605
ACCESS-CM2,historical,1989,277.44198608
ACCESS-CM2,historical,1990,278.52804565
ACCESS-CM2,historical,1991,276.06762695
ACCESS-CM2,historical,1992,275.20843506
ACCESS-CM2,historical,1993,277.80371094
ACCESS-CM2,historical,1994,277.38690186
ACCESS-CM2,historical,1995,277.05450439
ACCESS-CM2,historical,1996,274.99722290
ACCESS-CM2,historical,1997,277.27102661
ACCESS-CM2,historical,1998,278.35894775
ACCESS-CM2,historical,1999,276.52755737
ACCESS-CM2,historical,2000,277.40655518
ACCESS-CM2,historical,2001,275.82696533
ACCESS-CM2,historical,2002,276.96270752
ACCESS-CM2,historical,2003,277.69869995
ACCESS-CM2,historical,2004,277.95767212
ACCESS-CM2,historical,2005,277.51528931
ACCESS-CM2,historical,2006,276.89257812
ACCESS-CM2,historical,2007,278.40054321
ACCESS-CM2,historical,2008,276.41616821
ACCESS-CM2,historical,2009,277.80374146
ACCESS-CM2,historical,2010,276.60809326
ACCESS-CM2,historical,2011,277.70953369
ACCESS-CM2,historical,2012,277.57556152
ACCESS-CM2,historical,2013,277.15823364
ACCESS-CM2,historical,2014,278.32626343
ACCESS-CM2,ssp126,2015,278.04614258
ACCESS-CM2,ssp126,2016,278.03695679
ACCESS-CM2,ssp126,2017,278.13223267
ACCESS-CM2,ssp126,2018,277.92272949
ACCESS-CM2,ssp126,2019,278.01266479
ACCESS-CM2,ssp126,2020,278.61166382
ACCESS-CM2,ssp126,2021,277.49548340
ACCESS-CM2,ssp126,2022,275.92202759
ACCESS-CM2,ssp126,2023,277.82720947
ACCESS-CM2,ssp126,2024,277.32217407
ACCESS-CM2,ssp126,2025,276.96279907
ACCESS-CM2,ssp126,2026,278.64010620
ACCESS-CM2,ssp126,2027,277.08850098
ACCESS-CM2,ssp126,2028,277.73202515
ACCESS-CM2,ssp126,2029,278.32342529
ACCESS-CM2,ssp126,2030,277.51095581
ACCESS-CM2,ssp126,2031,275.81042480
ACCESS-CM2,ssp126,2032,277.79571533
ACCESS-CM2,ssp126,2033,277.50985718
ACCESS-CM2,ssp126,2034,278.30157471
ACCESS-CM2,ssp126,2035,276.49435425
ACCESS-CM2,ssp126,2036,278.07971191
ACCESS-CM2,ssp126,2037,279.11779785
ACCESS-CM2,ssp126,2038,277.83071899
ACCESS-CM2,ssp126,2039,278.27517700
ACCESS-CM2,ssp126,2040,278.54650879
ACCESS-CM2,ssp126,2041,277.78668213
ACCESS-CM2,ssp126,2042,278.23123169
ACCESS-CM2,ssp126,2043,278.12539673
ACCESS-CM2,ssp126,2044,276.48986816
ACCESS-CM2,ssp126,2045,279.33566284
ACCESS-CM2,ssp126,2046,277.08383179
ACCESS-CM2,ssp126,2047,278.85272217
ACCESS-CM2,ssp126,2048,278.22903442
ACCESS-CM2,ssp126,2049,278.33270264
ACCESS-CM2,ssp126,2050,276.02386475
ACCESS-CM2,ssp126,2051,279.40890503
ACCESS-CM2,ssp126,2052,278.53253174
ACCESS-CM2,ssp126,2053,279.62600708
ACCESS-CM2,ssp126,2054,277.60052490
ACCESS-CM2,ssp126,2055,278.06420898
ACCESS-CM2,ssp126,2056,279.72848511
ACCESS-CM2,ssp126,2057,278.93655396
ACCESS-CM2,ssp126,2058,279.16870117
ACCESS-CM2,ssp126,2059,278.80200195
ACCESS-CM2,ssp126,2060,278.88909912
ACCESS-CM2,ssp126,2061,277.79965210
ACCESS-CM2,ssp126,2062,278.24935913
ACCESS-CM2,ssp126,2063,279.22845459
ACCESS-CM2,ssp126,2064,278.47326660
ACCESS-CM2,ssp126,2065,279.11120605
ACCESS-CM2,ssp126,2066,279.53945923
ACCESS-CM2,ssp126,2067,279.05377197
ACCESS-CM2,ssp126,2068,278.59262085
ACCESS-CM2,ssp126,2069,278.19519043
ACCESS-CM2,ssp126,2070,280.21667480
ACCESS-CM2,ssp126,2071,279.04730225
ACCESS-CM2,ssp126,2072,277.60656738
ACCESS-CM2,ssp126,2073,279.54428101
ACCESS-CM2,ssp126,2074,278.85363770
ACCESS-CM2,ssp126,2075,279.76824951
ACCESS-CM2,ssp126,2076,279.08889771
ACCESS-CM2,ssp126,2077,278.33563232
ACCESS-CM2,ssp126,2078,277.62463379
ACCESS-CM2,ssp126,2079,276.93002319
ACCESS-CM2,ssp126,2080,278.10186768
ACCESS-CM2,ssp126,2081,278.81768799
ACCESS-CM2,ssp126,2082,277.19369507
ACCESS-CM2,ssp126,2083,277.89483643
ACCESS-CM2,ssp126,2084,276.59600830
ACCESS-CM2,ssp126,2085,278.51754761
ACCESS-CM2,ssp126,2086,279.42318726
ACCESS-CM2,ssp126,2087,278.24234009
ACCESS-CM2,ssp126,2088,276.16537476
ACCESS-CM2,ssp126,2089,279.37579346
ACCESS-CM2,ssp126,2090,279.46105957
ACCESS-CM2,ssp126,2091,278.62213135
ACCESS-CM2,ssp126,2092,278.19366455
ACCESS-CM2,ssp126,2093,279.44802856
ACCESS-CM2,ssp126,2094,278.87475586
ACCESS-CM2,ssp126,2095,277.89617920
ACCESS-CM2,ssp126,2096,278.66397095
ACCESS-CM2,ssp126,2097,278.47659302
ACCESS-CM2,ssp126,2098,278.54888916
ACCESS-CM2,ssp126,2099,279.56857300
ACCESS-CM2,ssp245,2015,277.89160156
ACCESS-CM2,ssp245,2016,277.18344116
ACCESS-CM2,ssp245,2017,277.93930054
ACCESS-CM2,ssp245,2018,277.69213867
ACCESS-CM2,ssp245,2019,276.81091309
ACCESS-CM2,ssp245,2020,278.22985840
ACCESS-CM2,ssp245,2021,278.96475220
ACCESS-CM2,ssp245,2022,277.63009644
ACCESS-CM2,ssp245,2023,277.07836914
ACCESS-CM2,ssp245,2024,278.24954224
ACCESS-CM2,ssp245,2025,277.21078491
ACCESS-CM2,ssp245,2026,277.54641724
ACCESS-CM2,ssp245,2027,278.06997681
ACCESS-CM2,ssp245,2028,278.14474487
ACCESS-CM2,ssp245,2029,279.00009155
ACCESS-CM2,ssp245,2030,278.77902222
ACCESS-CM2,ssp245,2031,278.64453125
ACCESS-CM2,ssp245,2032,278.74478149
ACCESS-CM2,ssp245,2033,277.37329102
