model,experiment,year,tas
ACCESS-CM2,historical,1960,276.68283081
ACCESS-CM2,historical,1961,277.78030396
ACCESS-CM2,historical,1962,275.83792114
ACCESS-CM2,historical,1963,275.93267822
ACCESS-CM2,historical,1964,274.39822388
ACCESS-CM2,historical,1965,274.68475342
ACCESS-CM2,historical,1966,275.27648926
ACCESS-CM2,historical,1967,273.40158081
ACCESS-CM2,historical,1968,275.12792969
ACCESS-CM2,historical,1969,275.36514282
ACCESS-CM2,historical,1970,274.47937012
ACCESS-CM2,historical,1971,274.85665894
ACCESS-CM2,historical,1972,274.00341797
ACCESS-CM2,historical,1973,277.13656616
ACCESS-CM2,historical,1974,273.82736206
ACCESS-CM2,historical,1975,275.07421875
ACCESS-CM2,historical,1976,274.26019287
ACCESS-CM2,historical,1977,276.12060547
ACCESS-CM2,historical,1978,275.86886597
ACCESS-CM2,historical,1979,276.80624390
ACCESS-CM2,historical,1980,276.30670166
ACCESS-CM2,historical,1981,276.22595215
ACCESS-CM2,historical,1982,276.09402466
ACCESS-CM2,historical,1983,273.35891724
ACCESS-CM2,historical,1984,275.32601929
ACCESS-CM2,historical,1985,274.81704712
ACCESS-CM2,historical,1986,275.06607056
ACCESS-CM2,historical,1987,275.84988403
ACCESS-CM2,historical,1988,275.44616699
ACCESS-CM2,historical,1989,275.13739014
ACCESS-CM2,historical,1990,276.06451416
ACCESS-CM2,historical,1991,276.36999512
ACCESS-CM2,historical,1992,275.08215332
ACCESS-CM2,historical,1993,276.09228516
ACCESS-CM2,historical,1994,274.84783936
ACCESS-CM2,historical,1995,276.79098511
ACCESS-CM2,historical,1996,275.13690186
ACCESS-CM2,historical,1997,276.38955688
ACCESS-CM2,historical,1998,274.89147949
ACCESS-CM2,historical,1999,275.78182983
ACCESS-CM2,historical,2000,275.18658447
ACCESS-CM2,historical,2001,274.30703735
ACCESS-CM2,historical,2002,276.29724121
ACCESS-CM2,historical,2003,277.47564697
ACCESS-CM2,historical,2004,276.73864746
ACCESS-CM2,historical,2005,276.89349365
