model,experiment,year,tas
ACCESS-CM2,historical,1960,281.71176147
ACCESS-CM2,historical,1961,282.90087891
ACCESS-CM2,historical,1962,282.37771606
ACCESS-CM2,historical,1963,281.85250854
ACCESS-CM2,historical,1964,280.30047607
ACCESS-CM2,historical,1965,280.29061890
ACCESS-CM2,historical,1966,280.98767090
ACCESS-CM2,historical,1967,278.49234009
ACCESS-CM2,historical,1968,280.59078979
ACCESS-CM2,historical,1969,280.67153931
ACCESS-CM2,historical,1970,280.92526245
ACCESS-CM2,historical,1971,280.85971069
ACCESS-CM2,historical,1972,280.65240479
ACCESS-CM2,historical,1973,281.70098877
ACCESS-CM2,historical,1974,280.30426025
ACCESS-CM2,historical,1975,280.71035767
ACCESS-CM2,historical,1976,279.47662354
ACCESS-CM2,historical,1977,281.75878906
ACCESS-CM2,historical,1978,281.76507568
ACCESS-CM2,historical,1979,282.07714844
ACCESS-CM2,historical,1980,281.88180542
ACCESS-CM2,historical,1981,282.14083862
ACCESS-CM2,historical,1982,282.38180542
ACCESS-CM2,historical,1983,280.40429688
ACCESS-CM2,historical,1984,280.74200439
ACCESS-CM2,historical,1985,281.26092529
ACCESS-CM2,historical,1986,280.82238770
ACCESS-CM2,historical,1987,281.25833130
ACCESS-CM2,historical,1988,280.89315796
ACCESS-CM2,historical,1989,281.50555420
ACCESS-CM2,historical,1990,280.73254395
ACCESS-CM2,historical,1991,280.99691772
ACCESS-CM2,historical,1992,281.64410400
ACCESS-CM2,historical,1993,280.86880493
ACCESS-CM2,historical,1994,282.00601196
ACCESS-CM2,historical,1995,282.37454224
ACCESS-CM2,historical,1996,280.70410156
ACCESS-CM2,historical,1997,281.01922607
ACCESS-CM2,historical,1998,280.35000610
ACCESS-CM2,historical,1999,281.16329956
ACCESS-CM2,historical,2000,280.51556396
ACCESS-CM2,historical,2001,280.62512207
ACCESS-CM2,historical,2002,281.44235229
ACCESS-CM2,historical,2003,282.49313354
ACCESS-CM2,historical,2004,282.47055054
ACCESS-CM2,historical,2005,282.43240356
ACCESS-CM2,historical,2006,282.29190063
ACCESS-CM2,historical,2007,281.03466797
ACCESS-CM2,historical,2008,279.64633179
ACCESS-CM2,historical,2009,282.08026123
ACCESS-CM2,historical,2010,280.70959473
ACCESS-CM2,historical,2011,281.49444580
ACCESS-CM2,historical,2012,281.23617554
ACCESS-CM2,historical,2013,282.76644897
ACCESS-CM2,historical,2014,281.88427734
ACCESS-CM2,ssp126,2015,280.29891968
ACCESS-CM2,ssp126,2016,280.91464233
ACCESS-CM2,ssp126,2017,280.99523926
ACCESS-CM2,ssp126,2018,281.85281372
ACCESS-CM2,ssp126,2019,282.48052979
ACCESS-CM2,ssp126,2020,282.10177612
ACCESS-CM2,ssp126,2021,282.25875854
ACCESS-CM2,ssp126,2022,281.97637939
ACCESS-CM2,ssp126,2023,281.28765869
ACCESS-CM2,ssp126,2024,282.77926636
ACCESS-CM2,ssp126,2025,281.35748291
ACCESS-CM2,ssp126,2026,280.75067139
ACCESS-CM2,ssp126,2027,280.71026611
ACCESS-CM2,ssp126,2028,281.80422974
ACCESS-CM2,ssp126,2029,281.74887085
ACCESS-CM2,ssp126,2030,283.57772827
ACCESS-CM2,ssp126,2031,280.41152954
ACCESS-CM2,ssp126,2032,280.63446045
ACCESS-CM2,ssp126,2033,281.21981812
ACCESS-CM2,ssp126,2034,281.32919312
ACCESS-CM2,ssp126,2035,282.29254150
ACCESS-CM2,ssp126,2036,281.80072021
ACCESS-CM2,ssp126,2037,281.32867432
ACCESS-CM2,ssp126,2038,283.08309937
ACCESS-CM2,ssp126,2039,281.78839111
ACCESS-CM2,ssp126,2040,281.42825317
ACCESS-CM2,ssp126,2041,281.34603882
ACCESS-CM2,ssp126,2042,282.67205811
