model,experiment,year,tas
ACCESS-CM2,historical,1960,281.37789917
ACCESS-CM2,historical,1961,282.28723145
ACCESS-CM2,historical,1962,282.12240601
ACCESS-CM2,historical,1963,282.49401855
ACCESS-CM2,historical,1964,281.03247070
ACCESS-CM2,historical,1965,281.95758057
ACCESS-CM2,historical,1966,280.84893799
ACCESS-CM2,historical,1967,281.40756226
ACCESS-CM2,historical,1968,282.00961304
ACCESS-CM2,historical,1969,281.98547363
ACCESS-CM2,historical,1970,282.35159302
ACCESS-CM2,historical,1971,282.34707642
ACCESS-CM2,historical,1972,281.55661011
ACCESS-CM2,historical,1973,282.01025391
ACCESS-CM2,historical,1974,281.11633301
ACCESS-CM2,historical,1975,281.67071533
ACCESS-CM2,historical,1976,281.95022583
ACCESS-CM2,historical,1977,282.18927002
ACCESS-CM2,historical,1978,282.65536499
ACCESS-CM2,historical,1979,281.88436890
ACCESS-CM2,historical,1980,281.90216064
ACCESS-CM2,historical,1981,281.98452759
ACCESS-CM2,historical,1982,282.04660034
ACCESS-CM2,historical,1983,281.93963623
ACCESS-CM2,historical,1984,282.66125488
ACCESS-CM2,historical,1985,282.47726440
ACCESS-CM2,historical,1986,281.02694702
ACCESS-CM2,historical,1987,281.98129272
ACCESS-CM2,historical,1988,282.71817017
ACCESS-CM2,historical,1989,283.43206787
ACCESS-CM2,historical,1990,281.99459839
ACCESS-CM2,historical,1991,282.24810791
ACCESS-CM2,historical,1992,281.80770874
ACCESS-CM2,historical,1993,282.63421631
ACCESS-CM2,historical,1994,282.36856079
ACCESS-CM2,historical,1995,283.34963989
ACCESS-CM2,historical,1996,282.18920898
ACCESS-CM2,historical,1997,281.72259521
ACCESS-CM2,historical,1998,281.91152954
ACCESS-CM2,historical,1999,282.30895996
ACCESS-CM2,historical,2000,282.03158569
ACCESS-CM2,historical,2001,281.95767212
ACCESS-CM2,historical,2002,281.95098877
ACCESS-CM2,historical,2003,282.72412109
ACCESS-CM2,historical,2004,283.41284180
ACCESS-CM2,historical,2005,282.96847534
ACCESS-CM2,historical,2006,282.37106323
ACCESS-CM2,historical,2007,282.33081055
ACCESS-CM2,historical,2008,281.56137085
ACCESS-CM2,historical,2009,281.64419556
ACCESS-CM2,historical,2010,282.42791748
ACCESS-CM2,historical,2011,282.77890015
ACCESS-CM2,historical,2012,282.02685547
ACCESS-CM2,historical,2013,282.67874146
ACCESS-CM2,historical,2014,282.41668701
ACCESS-CM2,ssp126,2015,282.81362915
ACCESS-CM2,ssp126,2016,282.31912231
ACCESS-CM2,ssp126,2017,283.00064087
ACCESS-CM2,ssp126,2018,283.29647827
ACCESS-CM2,ssp126,2019,283.13458252
ACCESS-CM2,ssp126,2020,284.18161011
ACCESS-CM2,ssp126,2021,283.23571777
ACCESS-CM2,ssp126,2022,283.80941772
ACCESS-CM2,ssp126,2023,283.83535767
ACCESS-CM2,ssp126,2024,282.75393677
ACCESS-CM2,ssp126,2025,283.66824341
ACCESS-CM2,ssp126,2026,282.76602173
ACCESS-CM2,ssp126,2027,282.83114624
ACCESS-CM2,ssp126,2028,283.34616089
ACCESS-CM2,ssp126,2029,282.76043701
ACCESS-CM2,ssp126,2030,283.61672974
ACCESS-CM2,ssp126,2031,283.72741699
ACCESS-CM2,ssp126,2032,283.39108276
ACCESS-CM2,ssp126,2033,282.52093506
ACCESS-CM2,ssp126,2034,282.66723633
ACCESS-CM2,ssp126,2035,282.75704956
ACCESS-CM2,ssp126,2036,282.82098389
ACCESS-CM2,ssp126,2037,283.35537720
ACCESS-CM2,ssp126,2038,284.17724609
ACCESS-CM2,ssp126,2039,283.17068481
ACCESS-CM2,ssp126,2040,282.72512817
ACCESS-CM2,ssp126,2041,282.88995361
ACCESS-CM2,ssp126,2042,282.50863647
ACCESS-CM2,ssp126,2043,284.54269409
ACCESS-CM2,ssp126,2044,284.28594971
ACCESS-CM2,ssp126,2045,282.82125854
ACCESS-CM2,ssp126,2046,282.76516724
ACCESS-CM2,ssp126,2047,283.95608521
ACCESS-CM2,ssp126,2048,284.07263184
ACCESS-CM2,ssp126,2049,283.86199951
ACCESS-CM2,ssp126,2050,283.91122437
ACCESS-CM2,ssp126,2051,283.68768311
ACCESS-CM2,ssp126,2052,282.59710693
ACCESS-CM2,ssp126,2053,283.91418457
ACCESS-CM2,ssp126,2054,284.68026733
ACCESS-CM2,ssp126,2055,283.84991455
ACCESS-CM2,ssp126,2056,284.11834717
ACCESS-CM2,ssp126,2057,282.46041870
ACCESS-CM2,ssp126,2058,283.13317871
ACCESS-CM2,ssp126,2059,284.08419800
ACCESS-CM2,ssp126,2060,284.29269409
ACCESS-CM2,ssp126,2061,284.70642090
ACCESS-CM2,ssp126,2062,283.61660767
ACCESS-CM2,ssp126,2063,283.19934082
ACCESS-CM2,ssp126,2064,283.44885254
ACCESS-CM2,ssp126,2065,283.68698120
ACCESS-CM2,ssp126,2066,283.56622314
ACCESS-CM2,ssp126,2067,283.69497681
ACCESS-CM2,ssp126,2068,283.77954102
ACCESS-CM2,ssp126,2069,283.74655151
ACCESS-CM2,ssp126,2070,284.10147095
ACCESS-CM2,ssp126,2071,283.57174683
ACCESS-CM2,ssp126,2072,284.50225830
ACCESS-CM2,ssp126,2073,283.68786621
ACCESS-CM2,ssp126,2074,284.28237915
ACCESS-CM2,ssp126,2075,284.19009399
ACCESS-CM2,ssp126,2076,285.14282227
ACCESS-CM2,ssp126,2077,284.80715942
ACCESS-CM2,ssp126,2078,283.17889404
ACCESS-CM2,ssp126,2079,283.89541626
ACCESS-CM2,ssp126,2080,285.02508545
ACCESS-CM2,ssp126,2081,283.49649048
ACCESS-CM2,ssp126,2082,283.45941162
ACCESS-CM2,ssp126,2083,282.80596924
ACCESS-CM2,ssp126,2084,282.99246216
ACCESS-CM2,ssp126,2085,284.15832520
ACCESS-CM2,ssp126,2086,284.42608643
ACCESS-CM2,ssp126,2087,283.47891235
ACCESS-CM2,ssp126,2088,283.29287720
ACCESS-CM2,ssp126,2089,283.94912720
ACCESS-CM2,ssp126,2090,284.27188110
ACCESS-CM2,ssp126,2091,284.06280518
ACCESS-CM2,ssp126,2092,283.68438721
ACCESS-CM2,ssp126,2093,284.53543091
