model,experiment,year,tas
ACCESS-CM2,historical,1960,281.70935059
ACCESS-CM2,historical,1961,282.97241211
ACCESS-CM2,historical,1962,282.28451538
ACCESS-CM2,historical,1963,283.09036255
ACCESS-CM2,historical,1964,281.85690308
ACCESS-CM2,historical,1965,282.80569458
ACCESS-CM2,historical,1966,281.27667236
ACCESS-CM2,historical,1967,282.16305542
ACCESS-CM2,historical,1968,282.58197021
ACCESS-CM2,historical,1969,282.79635620
ACCESS-CM2,historical,1970,283.25219727
ACCESS-CM2,historical,1971,283.36981201
ACCESS-CM2,historical,1972,281.91152954
ACCESS-CM2,historical,1973,282.89010620
ACCESS-CM2,historical,1974,282.20874023
ACCESS-CM2,historical,1975,282.44628906
ACCESS-CM2,historical,1976,282.44006348
ACCESS-CM2,historical,1977,282.86145020
ACCESS-CM2,historical,1978,283.60961914
ACCESS-CM2,historical,1979,282.39495850
ACCESS-CM2,historical,1980,282.64749146
ACCESS-CM2,historical,1981,282.57196045
ACCESS-CM2,historical,1982,282.68731689
ACCESS-CM2,historical,1983,282.43780518
ACCESS-CM2,historical,1984,283.35794067
ACCESS-CM2,historical,1985,283.15197754
ACCESS-CM2,historical,1986,282.12600708
ACCESS-CM2,historical,1987,283.10507202
ACCESS-CM2,historical,1988,283.61410522
ACCESS-CM2,historical,1989,283.77890015
ACCESS-CM2,historical,1990,282.94512939
ACCESS-CM2,historical,1991,282.89154053
ACCESS-CM2,historical,1992,282.65411377
ACCESS-CM2,historical,1993,283.17315674
ACCESS-CM2,historical,1994,283.40246582
ACCESS-CM2,historical,1995,283.89535522
ACCESS-CM2,historical,1996,283.15982056
ACCESS-CM2,historical,1997,282.81515503
ACCESS-CM2,historical,1998,282.95056152
ACCESS-CM2,historical,1999,283.07507324
ACCESS-CM2,historical,2000,282.47311401
ACCESS-CM2,historical,2001,282.97109985
ACCESS-CM2,historical,2002,282.40380859
ACCESS-CM2,historical,2003,283.59295654
ACCESS-CM2,historical,2004,283.77651978
ACCESS-CM2,historical,2005,283.97686768
