model,experiment,year,tas
ACCESS-CM2,historical,1960,284.36791992
ACCESS-CM2,historical,1961,286.05346680
ACCESS-CM2,historical,1962,284.77310181
ACCESS-CM2,historical,1963,286.32989502
ACCESS-CM2,historical,1964,284.55142212
ACCESS-CM2,historical,1965,285.76687622
ACCESS-CM2,historical,1966,284.29678345
ACCESS-CM2,historical,1967,284.94955444
ACCESS-CM2,historical,1968,285.37551880
ACCESS-CM2,historical,1969,285.97073364
ACCESS-CM2,historical,1970,285.89709473
ACCESS-CM2,historical,1971,286.07723999
ACCESS-CM2,historical,1972,284.72091675
ACCESS-CM2,historical,1973,286.14346313
ACCESS-CM2,historical,1974,285.02832031
ACCESS-CM2,historical,1975,285.34103394
ACCESS-CM2,historical,1976,285.26119995
ACCESS-CM2,historical,1977,285.23410034
ACCESS-CM2,historical,1978,286.35961914
ACCESS-CM2,historical,1979,284.84613037
ACCESS-CM2,historical,1980,285.47793579
ACCESS-CM2,historical,1981,285.27944946
ACCESS-CM2,historical,1982,285.64599609
ACCESS-CM2,historical,1983,285.23815918
ACCESS-CM2,historical,1984,286.26260376
ACCESS-CM2,historical,1985,285.88467407
ACCESS-CM2,historical,1986,284.80712891
ACCESS-CM2,historical,1987,285.95477295
ACCESS-CM2,historical,1988,286.09210205
ACCESS-CM2,historical,1989,286.32669067
ACCESS-CM2,historical,1990,285.84197998
ACCESS-CM2,historical,1991,285.68609619
ACCESS-CM2,historical,1992,285.28366089
ACCESS-CM2,historical,1993,285.76168823
ACCESS-CM2,historical,1994,286.17996216
ACCESS-CM2,historical,1995,286.37170410
ACCESS-CM2,historical,1996,285.97091675
ACCESS-CM2,historical,1997,285.32247925
ACCESS-CM2,historical,1998,285.49621582
ACCESS-CM2,historical,1999,285.95248413
ACCESS-CM2,historical,2000,285.14413452
ACCESS-CM2,historical,2001,285.58389282
ACCESS-CM2,historical,2002,285.25128174
ACCESS-CM2,historical,2003,286.34835815
ACCESS-CM2,historical,2004,286.81469727
ACCESS-CM2,historical,2005,286.59725952
ACCESS-CM2,historical,2006,285.73672485
ACCESS-CM2,historical,2007,285.87210083
ACCESS-CM2,historical,2008,285.29641724
ACCESS-CM2,historical,2009,285.73645020
ACCESS-CM2,historical,2010,286.17861938
ACCESS-CM2,historical,2011,286.42514038
ACCESS-CM2,historical,2012,285.94500732
ACCESS-CM2,historical,2013,285.96148682
ACCESS-CM2,historical,2014,285.85375977
ACCESS-CM2,ssp126,2015,286.49557495
ACCESS-CM2,ssp126,2016,286.27841187
ACCESS-CM2,ssp126,2017,286.47674561
ACCESS-CM2,ssp126,2018,287.04669189
ACCESS-CM2,ssp126,2019,286.93460083
ACCESS-CM2,ssp126,2020,287.52612305
ACCESS-CM2,ssp126,2021,286.29315186
ACCESS-CM2,ssp126,2022,287.18917847
ACCESS-CM2,ssp126,2023,287.36514282
ACCESS-CM2,ssp126,2024,286.10180664
ACCESS-CM2,ssp126,2025,287.03195190
ACCESS-CM2,ssp126,2026,286.02368164
ACCESS-CM2,ssp126,2027,286.39831543
ACCESS-CM2,ssp126,2028,287.44564819
ACCESS-CM2,ssp126,2029,286.95071411
ACCESS-CM2,ssp126,2030,287.08193970
ACCESS-CM2,ssp126,2031,287.37451172
ACCESS-CM2,ssp126,2032,287.19876099
ACCESS-CM2,ssp126,2033,286.43426514
ACCESS-CM2,ssp126,2034,286.46429443
ACCESS-CM2,ssp126,2035,286.78024292
ACCESS-CM2,ssp126,2036,286.34338379
ACCESS-CM2,ssp126,2037,286.98321533
ACCESS-CM2,ssp126,2038,287.53585815
ACCESS-CM2,ssp126,2039,287.19360352
ACCESS-CM2,ssp126,2040,286.36737061
ACCESS-CM2,ssp126,2041,286.60028076
ACCESS-CM2,ssp126,2042,285.93475342
ACCESS-CM2,ssp126,2043,288.34249878
ACCESS-CM2,ssp126,2044,287.79852295
ACCESS-CM2,ssp126,2045,286.57098389
ACCESS-CM2,ssp126,2046,285.99459839
ACCESS-CM2,ssp126,2047,287.48818970
ACCESS-CM2,ssp126,2048,287.39804077
ACCESS-CM2,ssp126,2049,287.83731079
ACCESS-CM2,ssp126,2050,288.30633545
ACCESS-CM2,ssp126,2051,287.14022827
ACCESS-CM2,ssp126,2052,286.60598755
ACCESS-CM2,ssp126,2053,287.68881226
ACCESS-CM2,ssp126,2054,288.15982056
ACCESS-CM2,ssp126,2055,287.99130249
ACCESS-CM2,ssp126,2056,287.45175171
ACCESS-CM2,ssp126,2057,286.64178467
ACCESS-CM2,ssp126,2058,287.16760254
ACCESS-CM2,ssp126,2059,287.77401733
ACCESS-CM2,ssp126,2060,288.30276489
ACCESS-CM2,ssp126,2061,288.21008301
ACCESS-CM2,ssp126,2062,287.19439697
ACCESS-CM2,ssp126,2063,287.19296265
ACCESS-CM2,ssp126,2064,286.82440186
ACCESS-CM2,ssp126,2065,286.94662476
ACCESS-CM2,ssp126,2066,287.41516113
ACCESS-CM2,ssp126,2067,287.19229126
ACCESS-CM2,ssp126,2068,287.50183105
ACCESS-CM2,ssp126,2069,287.45919800
ACCESS-CM2,ssp126,2070,287.28274536
ACCESS-CM2,ssp126,2071,287.10083008
ACCESS-CM2,ssp126,2072,288.00134277
ACCESS-CM2,ssp126,2073,287.35397339
ACCESS-CM2,ssp126,2074,287.91720581
ACCESS-CM2,ssp126,2075,287.52493286
ACCESS-CM2,ssp126,2076,289.19897461
ACCESS-CM2,ssp126,2077,288.18914795
ACCESS-CM2,ssp126,2078,286.84057617
ACCESS-CM2,ssp126,2079,287.54983521
ACCESS-CM2,ssp126,2080,288.58731079
ACCESS-CM2,ssp126,2081,287.28292847
ACCESS-CM2,ssp126,2082,287.38009644
ACCESS-CM2,ssp126,2083,286.18295288
ACCESS-CM2,ssp126,2084,286.70281982
ACCESS-CM2,ssp126,2085,287.37835693
ACCESS-CM2,ssp126,2086,288.27667236
ACCESS-CM2,ssp126,2087,286.89093018
ACCESS-CM2,ssp126,2088,287.55419922
ACCESS-CM2,ssp126,2089,287.66537476
ACCESS-CM2,ssp126,2090,287.96307373
ACCESS-CM2,ssp126,2091,287.91784668
ACCESS-CM2,ssp126,2092,287.58197021
ACCESS-CM2,ssp126,2093,287.75122070
ACCESS-CM2,ssp126,2094,288.00595093
ACCESS-CM2,ssp126,2095,286.71914673
ACCESS-CM2,ssp126,2096,287.17880249
ACCESS-CM2,ssp126,2097,287.73974609
ACCESS-CM2,ssp126,2098,288.01388550
ACCESS-CM2,ssp126,2099,288.45663452
ACCESS-CM2,ssp245,2015,287.18389893
