model,experiment,year,tas
ACCESS-CM2,historical,1960,281.35571289
ACCESS-CM2,historical,1961,282.51776123
ACCESS-CM2,historical,1962,281.97949219
ACCESS-CM2,historical,1963,282.61761475
ACCESS-CM2,historical,1964,281.47164917
ACCESS-CM2,historical,1965,282.42575073
ACCESS-CM2,historical,1966,280.86233521
ACCESS-CM2,historical,1967,281.86972046
ACCESS-CM2,historical,1968,282.13989258
ACCESS-CM2,historical,1969,282.11499023
ACCESS-CM2,historical,1970,282.67135620
ACCESS-CM2,historical,1971,283.03338623
ACCESS-CM2,historical,1972,281.42031860
ACCESS-CM2,historical,1973,282.55609131
ACCESS-CM2,historical,1974,281.88885498
ACCESS-CM2,historical,1975,281.86001587
ACCESS-CM2,historical,1976,282.04061890
ACCESS-CM2,historical,1977,282.47229004
ACCESS-CM2,historical,1978,283.36270142
ACCESS-CM2,historical,1979,282.05838013
ACCESS-CM2,historical,1980,282.30157471
ACCESS-CM2,historical,1981,282.27822876
ACCESS-CM2,historical,1982,282.20336914
ACCESS-CM2,historical,1983,281.97097778
ACCESS-CM2,historical,1984,282.88516235
ACCESS-CM2,historical,1985,282.72012329
ACCESS-CM2,historical,1986,281.63848877
ACCESS-CM2,historical,1987,282.94134521
ACCESS-CM2,historical,1988,283.06112671
ACCESS-CM2,historical,1989,283.40292358
ACCESS-CM2,historical,1990,282.77334595
ACCESS-CM2,historical,1991,282.47030640
ACCESS-CM2,historical,1992,282.37933350
ACCESS-CM2,historical,1993,282.72293091
ACCESS-CM2,historical,1994,283.10336304
ACCESS-CM2,historical,1995,283.68917847
ACCESS-CM2,historical,1996,282.73034668
ACCESS-CM2,historical,1997,282.39108276
ACCESS-CM2,historical,1998,282.63665771
ACCESS-CM2,historical,1999,282.57757568
ACCESS-CM2,historical,2000,281.95031738
ACCESS-CM2,historical,2001,282.65170288
ACCESS-CM2,historical,2002,281.90216064
ACCESS-CM2,historical,2003,283.32363892
ACCESS-CM2,historical,2004,283.29309082
ACCESS-CM2,historical,2005,283.63775635
ACCESS-CM2,historical,2006,282.31323242
ACCESS-CM2,historical,2007,282.70013428
ACCESS-CM2,historical,2008,281.78796387
ACCESS-CM2,historical,2009,282.33886719
ACCESS-CM2,historical,2010,282.87747192
ACCESS-CM2,historical,2011,283.42834473
ACCESS-CM2,historical,2012,282.36221313
ACCESS-CM2,historical,2013,282.99542236
ACCESS-CM2,historical,2014,282.55364990
ACCESS-CM2,ssp126,2015,283.12191772
ACCESS-CM2,ssp126,2016,282.90899658
ACCESS-CM2,ssp126,2017,283.51434326
ACCESS-CM2,ssp126,2018,283.63095093
ACCESS-CM2,ssp126,2019,283.87866211
ACCESS-CM2,ssp126,2020,284.44393921
ACCESS-CM2,ssp126,2021,283.27926636
ACCESS-CM2,ssp126,2022,284.29992676
ACCESS-CM2,ssp126,2023,284.18426514
ACCESS-CM2,ssp126,2024,282.95065308
ACCESS-CM2,ssp126,2025,283.71286011
ACCESS-CM2,ssp126,2026,283.12908936
ACCESS-CM2,ssp126,2027,283.10577393
ACCESS-CM2,ssp126,2028,284.26522827
ACCESS-CM2,ssp126,2029,283.43902588
ACCESS-CM2,ssp126,2030,284.00311279
ACCESS-CM2,ssp126,2031,283.68432617
ACCESS-CM2,ssp126,2032,284.04452515
ACCESS-CM2,ssp126,2033,283.25598145
ACCESS-CM2,ssp126,2034,283.04241943
ACCESS-CM2,ssp126,2035,283.53756714
ACCESS-CM2,ssp126,2036,283.23153687
ACCESS-CM2,ssp126,2037,283.87362671
ACCESS-CM2,ssp126,2038,284.15313721
ACCESS-CM2,ssp126,2039,283.50946045
ACCESS-CM2,ssp126,2040,283.38934326
ACCESS-CM2,ssp126,2041,283.30047607
ACCESS-CM2,ssp126,2042,282.95361328
ACCESS-CM2,ssp126,2043,284.97720337
ACCESS-CM2,ssp126,2044,284.53930664
ACCESS-CM2,ssp126,2045,283.32736206
ACCESS-CM2,ssp126,2046,283.14709473
ACCESS-CM2,ssp126,2047,284.17449951
ACCESS-CM2,ssp126,2048,284.00839233
ACCESS-CM2,ssp126,2049,284.10055542
ACCESS-CM2,ssp126,2050,284.58972168
ACCESS-CM2,ssp126,2051,283.80163574
ACCESS-CM2,ssp126,2052,283.62832642
ACCESS-CM2,ssp126,2053,284.55755615
ACCESS-CM2,ssp126,2054,284.94503784
ACCESS-CM2,ssp126,2055,284.85742188
ACCESS-CM2,ssp126,2056,284.81954956
ACCESS-CM2,ssp126,2057,283.33520508
ACCESS-CM2,ssp126,2058,283.88174438
ACCESS-CM2,ssp126,2059,284.73577881
ACCESS-CM2,ssp126,2060,284.72189331
