model,experiment,year,tas
ACCESS-CM2,historical,1960,283.46023560
ACCESS-CM2,historical,1961,284.60705566
ACCESS-CM2,historical,1962,283.95770264
ACCESS-CM2,historical,1963,285.43121338
ACCESS-CM2,historical,1964,283.75491333
ACCESS-CM2,historical,1965,284.10711670
ACCESS-CM2,historical,1966,284.51010132
ACCESS-CM2,historical,1967,284.65164185
ACCESS-CM2,historical,1968,283.81158447
ACCESS-CM2,historical,1969,284.91891479
ACCESS-CM2,historical,1970,285.38275146
ACCESS-CM2,historical,1971,284.67428589
ACCESS-CM2,historical,1972,284.93750000
ACCESS-CM2,historical,1973,284.98553467
ACCESS-CM2,historical,1974,285.38580322
ACCESS-CM2,historical,1975,286.16110229
ACCESS-CM2,historical,1976,284.44143677
ACCESS-CM2,historical,1977,285.00576782
ACCESS-CM2,historical,1978,286.01681519
ACCESS-CM2,historical,1979,285.65219116
ACCESS-CM2,historical,1980,285.20675659
ACCESS-CM2,historical,1981,282.68487549
ACCESS-CM2,historical,1982,285.02227783
ACCESS-CM2,historical,1983,283.84310913
ACCESS-CM2,historical,1984,285.13262939
ACCESS-CM2,historical,1985,285.31951904
ACCESS-CM2,historical,1986,283.73123169
ACCESS-CM2,historical,1987,284.15280151
ACCESS-CM2,historical,1988,286.46331787
ACCESS-CM2,historical,1989,285.96032715
ACCESS-CM2,historical,1990,284.00082397
ACCESS-CM2,historical,1991,285.16900635
ACCESS-CM2,historical,1992,285.29006958
ACCESS-CM2,historical,1993,285.80523682
ACCESS-CM2,historical,1994,285.51724243
ACCESS-CM2,historical,1995,285.30169678
ACCESS-CM2,historical,1996,285.97778320
ACCESS-CM2,historical,1997,284.17340088
ACCESS-CM2,historical,1998,284.48031616
ACCESS-CM2,historical,1999,286.23135376
ACCESS-CM2,historical,2000,284.68634033
ACCESS-CM2,historical,2001,285.17050171
ACCESS-CM2,historical,2002,284.31579590
ACCESS-CM2,historical,2003,285.24597168
ACCESS-CM2,historical,2004,286.06314087
ACCESS-CM2,historical,2005,285.76223755
ACCESS-CM2,historical,2006,285.02740479
ACCESS-CM2,historical,2007,284.15750122
ACCESS-CM2,historical,2008,285.31411743
ACCESS-CM2,historical,2009,285.47189331
ACCESS-CM2,historical,2010,286.51058960
ACCESS-CM2,historical,2011,286.55078125
ACCESS-CM2,historical,2012,284.43295288
ACCESS-CM2,historical,2013,284.68859863
ACCESS-CM2,historical,2014,284.26315308
ACCESS-CM2,ssp126,2015,285.93447876
ACCESS-CM2,ssp126,2016,284.93893433
ACCESS-CM2,ssp126,2017,285.04165649
ACCESS-CM2,ssp126,2018,286.75421143
ACCESS-CM2,ssp126,2019,285.87484741
ACCESS-CM2,ssp126,2020,287.00256348
ACCESS-CM2,ssp126,2021,286.79107666
ACCESS-CM2,ssp126,2022,286.20620728
ACCESS-CM2,ssp126,2023,287.34051514
ACCESS-CM2,ssp126,2024,284.95507812
ACCESS-CM2,ssp126,2025,287.27032471
ACCESS-CM2,ssp126,2026,285.33364868
ACCESS-CM2,ssp126,2027,285.93069458
ACCESS-CM2,ssp126,2028,285.85083008
ACCESS-CM2,ssp126,2029,286.10955811
ACCESS-CM2,ssp126,2030,286.77642822
ACCESS-CM2,ssp126,2031,286.38989258
ACCESS-CM2,ssp126,2032,286.70632935
ACCESS-CM2,ssp126,2033,285.51614380
ACCESS-CM2,ssp126,2034,286.34164429
ACCESS-CM2,ssp126,2035,286.44851685
ACCESS-CM2,ssp126,2036,285.43582153
ACCESS-CM2,ssp126,2037,286.64080811
ACCESS-CM2,ssp126,2038,287.70706177
ACCESS-CM2,ssp126,2039,286.28771973
ACCESS-CM2,ssp126,2040,286.19039917
ACCESS-CM2,ssp126,2041,286.35916138
ACCESS-CM2,ssp126,2042,285.08322144
ACCESS-CM2,ssp126,2043,287.67984009
ACCESS-CM2,ssp126,2044,286.89190674
ACCESS-CM2,ssp126,2045,285.63931274
ACCESS-CM2,ssp126,2046,284.91781616
ACCESS-CM2,ssp126,2047,287.36965942
ACCESS-CM2,ssp126,2048,287.23434448
ACCESS-CM2,ssp126,2049,286.41775513
ACCESS-CM2,ssp126,2050,287.76010132
ACCESS-CM2,ssp126,2051,286.06631470
ACCESS-CM2,ssp126,2052,284.35171509
ACCESS-CM2,ssp126,2053,287.05587769
ACCESS-CM2,ssp126,2054,287.65905762
ACCESS-CM2,ssp126,2055,286.91094971
ACCESS-CM2,ssp126,2056,287.17123413
ACCESS-CM2,ssp126,2057,285.70285034
ACCESS-CM2,ssp126,2058,286.10452271
ACCESS-CM2,ssp126,2059,286.89385986
ACCESS-CM2,ssp126,2060,287.18322754
ACCESS-CM2,ssp126,2061,287.77529907
ACCESS-CM2,ssp126,2062,287.07250977
ACCESS-CM2,ssp126,2063,285.79016113
ACCESS-CM2,ssp126,2064,286.18539429
ACCESS-CM2,ssp126,2065,286.73516846
ACCESS-CM2,ssp126,2066,287.68170166
ACCESS-CM2,ssp126,2067,284.95452881
ACCESS-CM2,ssp126,2068,287.52612305
ACCESS-CM2,ssp126,2069,287.33416748
ACCESS-CM2,ssp126,2070,286.52191162
ACCESS-CM2,ssp126,2071,285.87002563
ACCESS-CM2,ssp126,2072,286.30416870
ACCESS-CM2,ssp126,2073,286.24243164
ACCESS-CM2,ssp126,2074,288.46902466
ACCESS-CM2,ssp126,2075,286.83157349
ACCESS-CM2,ssp126,2076,289.15914917
ACCESS-CM2,ssp126,2077,288.06240845
ACCESS-CM2,ssp126,2078,286.47204590
ACCESS-CM2,ssp126,2079,286.82305908
ACCESS-CM2,ssp126,2080,287.26586914
ACCESS-CM2,ssp126,2081,287.23385620
ACCESS-CM2,ssp126,2082,286.73495483
ACCESS-CM2,ssp126,2083,286.88128662
ACCESS-CM2,ssp126,2084,286.41070557
ACCESS-CM2,ssp126,2085,288.73599243
ACCESS-CM2,ssp126,2086,287.57055664
ACCESS-CM2,ssp126,2087,287.77548218
ACCESS-CM2,ssp126,2088,285.71148682
ACCESS-CM2,ssp126,2089,286.89962769
ACCESS-CM2,ssp126,2090,287.36575317
ACCESS-CM2,ssp126,2091,287.86843872
ACCESS-CM2,ssp126,2092,286.34298706
ACCESS-CM2,ssp126,2093,287.28424072
ACCESS-CM2,ssp126,2094,287.22015381
ACCESS-CM2,ssp126,2095,286.55377197
ACCESS-CM2,ssp126,2096,285.42388916
ACCESS-CM2,ssp126,2097,287.41329956
ACCESS-CM2,ssp126,2098,287.23422241
ACCESS-CM2,ssp126,2099,287.62539673
ACCESS-CM2,ssp245,2015,285.79809570
ACCESS-CM2,ssp245,2016,284.91497803
ACCESS-CM2,ssp245,2017,284.94073486
ACCESS-CM2,ssp245,2018,285.66506958
ACCESS-CM2,ssp245,2019,285.45449829
ACCESS-CM2,ssp245,2020,286.55844116
ACCESS-CM2,ssp245,2021,285.94055176
ACCESS-CM2,ssp245,2022,286.30065918
ACCESS-CM2,ssp245,2023,286.66049194
ACCESS-CM2,ssp245,2024,287.72644043
