model,experiment,year,tas
ACCESS-CM2,historical,1960,282.51882935
ACCESS-CM2,historical,1961,283.63430786
ACCESS-CM2,historical,1962,283.05587769
ACCESS-CM2,historical,1963,284.81997681
ACCESS-CM2,historical,1964,283.06848145
ACCESS-CM2,historical,1965,283.77932739
ACCESS-CM2,historical,1966,283.76455688
ACCESS-CM2,historical,1967,284.00827026
ACCESS-CM2,historical,1968,282.93103027
ACCESS-CM2,historical,1969,283.93096924
ACCESS-CM2,historical,1970,284.72817993
ACCESS-CM2,historical,1971,283.81912231
ACCESS-CM2,historical,1972,283.46047974
ACCESS-CM2,historical,1973,284.36370850
ACCESS-CM2,historical,1974,284.34072876
ACCESS-CM2,historical,1975,284.80435181
ACCESS-CM2,historical,1976,283.00354004
ACCESS-CM2,historical,1977,284.38674927
ACCESS-CM2,historical,1978,285.55142212
ACCESS-CM2,historical,1979,284.98541260
ACCESS-CM2,historical,1980,284.64025879
ACCESS-CM2,historical,1981,282.09811401
ACCESS-CM2,historical,1982,283.93502808
ACCESS-CM2,historical,1983,282.93319702
ACCESS-CM2,historical,1984,284.31414795
ACCESS-CM2,historical,1985,284.76162720
ACCESS-CM2,historical,1986,283.00323486
ACCESS-CM2,historical,1987,283.77990723
ACCESS-CM2,historical,1988,285.43350220
ACCESS-CM2,historical,1989,284.97238159
ACCESS-CM2,historical,1990,283.67163086
ACCESS-CM2,historical,1991,284.68420410
ACCESS-CM2,historical,1992,284.58670044
ACCESS-CM2,historical,1993,285.23770142
ACCESS-CM2,historical,1994,285.13903809
ACCESS-CM2,historical,1995,284.90570068
ACCESS-CM2,historical,1996,285.41589355
ACCESS-CM2,historical,1997,283.47946167
ACCESS-CM2,historical,1998,283.94274902
ACCESS-CM2,historical,1999,285.57315063
ACCESS-CM2,historical,2000,283.60717773
ACCESS-CM2,historical,2001,284.53576660
ACCESS-CM2,historical,2002,283.59820557
ACCESS-CM2,historical,2003,284.84890747
ACCESS-CM2,historical,2004,285.30139160
ACCESS-CM2,historical,2005,285.01736450
ACCESS-CM2,historical,2006,283.99591064
ACCESS-CM2,historical,2007,283.16595459
ACCESS-CM2,historical,2008,284.20257568
ACCESS-CM2,historical,2009,284.35119629
ACCESS-CM2,historical,2010,285.46191406
ACCESS-CM2,historical,2011,286.03863525
ACCESS-CM2,historical,2012,283.49676514
ACCESS-CM2,historical,2013,283.93597412
ACCESS-CM2,historical,2014,283.44134521
ACCESS-CM2,ssp126,2015,284.89929199
ACCESS-CM2,ssp126,2016,284.20233154
ACCESS-CM2,ssp126,2017,284.66540527
