model,experiment,year,tas
ACCESS-CM2,historical,1960,283.72402954
ACCESS-CM2,historical,1961,284.94509888
ACCESS-CM2,historical,1962,284.13156128
ACCESS-CM2,historical,1963,285.50939941
ACCESS-CM2,historical,1964,284.31079102
ACCESS-CM2,historical,1965,285.21322632
ACCESS-CM2,historical,1966,284.63882446
ACCESS-CM2,historical,1967,284.95858765
ACCESS-CM2,historical,1968,284.33184814
ACCESS-CM2,historical,1969,285.28268433
ACCESS-CM2,historical,1970,286.21243286
ACCESS-CM2,historical,1971,285.52407837
ACCESS-CM2,historical,1972,284.94168091
ACCESS-CM2,historical,1973,286.03823853
ACCESS-CM2,historical,1974,286.00280762
ACCESS-CM2,historical,1975,286.63381958
ACCESS-CM2,historical,1976,284.70220947
ACCESS-CM2,historical,1977,285.64041138
ACCESS-CM2,historical,1978,286.96588135
ACCESS-CM2,historical,1979,285.92276001
ACCESS-CM2,historical,1980,285.72467041
ACCESS-CM2,historical,1981,283.51864624
ACCESS-CM2,historical,1982,285.04464722
ACCESS-CM2,historical,1983,284.38848877
ACCESS-CM2,historical,1984,285.59677124
ACCESS-CM2,historical,1985,285.92398071
ACCESS-CM2,historical,1986,284.64874268
ACCESS-CM2,historical,1987,285.03906250
ACCESS-CM2,historical,1988,286.72662354
ACCESS-CM2,historical,1989,286.12960815
ACCESS-CM2,historical,1990,284.89318848
ACCESS-CM2,historical,1991,285.91006470
ACCESS-CM2,historical,1992,285.87756348
ACCESS-CM2,historical,1993,286.41741943
ACCESS-CM2,historical,1994,286.59463501
ACCESS-CM2,historical,1995,286.27636719
ACCESS-CM2,historical,1996,286.39752197
ACCESS-CM2,historical,1997,285.37356567
ACCESS-CM2,historical,1998,285.46414185
ACCESS-CM2,historical,1999,286.72155762
ACCESS-CM2,historical,2000,284.85900879
ACCESS-CM2,historical,2001,286.41833496
ACCESS-CM2,historical,2002,284.76663208
ACCESS-CM2,historical,2003,286.19543457
ACCESS-CM2,historical,2004,286.46829224
ACCESS-CM2,historical,2005,287.30575562
ACCESS-CM2,historical,2006,285.04669189
ACCESS-CM2,historical,2007,284.66482544
ACCESS-CM2,historical,2008,286.05041504
ACCESS-CM2,historical,2009,286.30969238
ACCESS-CM2,historical,2010,286.39407349
ACCESS-CM2,historical,2011,287.65121460
ACCESS-CM2,historical,2012,284.86795044
ACCESS-CM2,historical,2013,285.67718506
ACCESS-CM2,historical,2014,285.22006226
ACCESS-CM2,ssp126,2015,286.53100586
ACCESS-CM2,ssp126,2016,285.77938843
ACCESS-CM2,ssp126,2017,286.44036865
ACCESS-CM2,ssp126,2018,287.18383789
ACCESS-CM2,ssp126,2019,286.89523315
ACCESS-CM2,ssp126,2020,287.82644653
ACCESS-CM2,ssp126,2021,286.91754150
ACCESS-CM2,ssp126,2022,286.99099731
ACCESS-CM2,ssp126,2023,287.74291992
ACCESS-CM2,ssp126,2024,284.83432007
ACCESS-CM2,ssp126,2025,287.43365479
ACCESS-CM2,ssp126,2026,285.65203857
ACCESS-CM2,ssp126,2027,286.42877197
ACCESS-CM2,ssp126,2028,287.43313599
ACCESS-CM2,ssp126,2029,287.23889160
ACCESS-CM2,ssp126,2030,287.38543701
ACCESS-CM2,ssp126,2031,286.95355225
ACCESS-CM2,ssp126,2032,287.57339478
ACCESS-CM2,ssp126,2033,286.55914307
ACCESS-CM2,ssp126,2034,287.28298950
ACCESS-CM2,ssp126,2035,287.18139648
ACCESS-CM2,ssp126,2036,286.43258667
ACCESS-CM2,ssp126,2037,287.43750000
ACCESS-CM2,ssp126,2038,287.91052246
ACCESS-CM2,ssp126,2039,287.41592407
ACCESS-CM2,ssp126,2040,286.58453369
ACCESS-CM2,ssp126,2041,286.99771118
ACCESS-CM2,ssp126,2042,286.18237305
ACCESS-CM2,ssp126,2043,288.23947144
ACCESS-CM2,ssp126,2044,287.68377686
ACCESS-CM2,ssp126,2045,286.57235718
ACCESS-CM2,ssp126,2046,285.61700439
ACCESS-CM2,ssp126,2047,287.82995605
ACCESS-CM2,ssp126,2048,287.13906860
ACCESS-CM2,ssp126,2049,287.11700439
ACCESS-CM2,ssp126,2050,289.06631470
ACCESS-CM2,ssp126,2051,286.88336182
ACCESS-CM2,ssp126,2052,286.12557983
ACCESS-CM2,ssp126,2053,287.96786499
ACCESS-CM2,ssp126,2054,288.14981079
ACCESS-CM2,ssp126,2055,288.47470093
ACCESS-CM2,ssp126,2056,287.88964844
ACCESS-CM2,ssp126,2057,286.88085938
ACCESS-CM2,ssp126,2058,286.85687256
ACCESS-CM2,ssp126,2059,287.91397095
ACCESS-CM2,ssp126,2060,287.97927856
ACCESS-CM2,ssp126,2061,288.11047363
ACCESS-CM2,ssp126,2062,287.36447144
ACCESS-CM2,ssp126,2063,286.42669678
ACCESS-CM2,ssp126,2064,286.84634399
ACCESS-CM2,ssp126,2065,287.83007812
ACCESS-CM2,ssp126,2066,288.51132202
ACCESS-CM2,ssp126,2067,286.04479980
ACCESS-CM2,ssp126,2068,288.94958496
ACCESS-CM2,ssp126,2069,288.36358643
ACCESS-CM2,ssp126,2070,286.90332031
ACCESS-CM2,ssp126,2071,286.74526978
ACCESS-CM2,ssp126,2072,287.58969116
ACCESS-CM2,ssp126,2073,286.80563354
ACCESS-CM2,ssp126,2074,288.70986938
ACCESS-CM2,ssp126,2075,286.71875000
ACCESS-CM2,ssp126,2076,289.90325928
ACCESS-CM2,ssp126,2077,289.01440430
ACCESS-CM2,ssp126,2078,287.19390869
ACCESS-CM2,ssp126,2079,287.78643799
ACCESS-CM2,ssp126,2080,287.86450195
ACCESS-CM2,ssp126,2081,287.65368652
ACCESS-CM2,ssp126,2082,287.78399658
ACCESS-CM2,ssp126,2083,287.15875244
ACCESS-CM2,ssp126,2084,287.13732910
ACCESS-CM2,ssp126,2085,288.99694824
ACCESS-CM2,ssp126,2086,288.06503296
ACCESS-CM2,ssp126,2087,288.05636597
ACCESS-CM2,ssp126,2088,286.06741333
ACCESS-CM2,ssp126,2089,287.75387573
ACCESS-CM2,ssp126,2090,288.29162598
ACCESS-CM2,ssp126,2091,288.07232666
ACCESS-CM2,ssp126,2092,287.24880981
ACCESS-CM2,ssp126,2093,287.13073730
ACCESS-CM2,ssp126,2094,288.55194092
ACCESS-CM2,ssp126,2095,287.23547363
ACCESS-CM2,ssp126,2096,286.19952393
ACCESS-CM2,ssp126,2097,288.80929565
ACCESS-CM2,ssp126,2098,287.97174072
ACCESS-CM2,ssp126,2099,288.61987305
ACCESS-CM2,ssp245,2015,286.61691284
ACCESS-CM2,ssp245,2016,285.51892090
ACCESS-CM2,ssp245,2017,285.52200317
ACCESS-CM2,ssp245,2018,286.39395142
ACCESS-CM2,ssp245,2019,286.34414673
ACCESS-CM2,ssp245,2020,288.08865356
ACCESS-CM2,ssp245,2021,286.54708862
ACCESS-CM2,ssp245,2022,287.14486694
ACCESS-CM2,ssp245,2023,286.82806396
ACCESS-CM2,ssp245,2024,287.94512939
ACCESS-CM2,ssp245,2025,286.87884521
ACCESS-CM2,ssp245,2026,286.47470093
ACCESS-CM2,ssp245,2027,287.48373413
ACCESS-CM2,ssp245,2028,287.72772217
ACCESS-CM2,ssp245,2029,286.41989136
ACCESS-CM2,ssp245,2030,287.11886597
ACCESS-CM2,ssp245,2031,285.85647583
ACCESS-CM2,ssp245,2032,286.76449585
ACCESS-CM2,ssp245,2033,287.82214355
ACCESS-CM2,ssp245,2034,288.63662720
ACCESS-CM2,ssp245,2035,286.40396118
ACCESS-CM2,ssp245,2036,286.68688965
ACCESS-CM2,ssp245,2037,288.44604492
ACCESS-CM2,ssp245,2038,286.92770386
ACCESS-CM2,ssp245,2039,289.71371460
ACCESS-CM2,ssp245,2040,287.96557617
ACCESS-CM2,ssp245,2041,286.49258423
ACCESS-CM2,ssp245,2042,287.22756958
ACCESS-CM2,ssp245,2043,287.85556030
ACCESS-CM2,ssp245,2044,286.76504517
ACCESS-CM2,ssp245,2045,287.06262207
ACCESS-CM2,ssp245,2046,287.85635376
ACCESS-CM2,ssp245,2047,287.73013306
ACCESS-CM2,ssp245,2048,288.74969482
ACCESS-CM2,ssp245,2049,287.63912964
ACCESS-CM2,ssp245,2050,287.75357056
ACCESS-CM2,ssp245,2051,287.49890137
ACCESS-CM2,ssp245,2052,287.38656616
ACCESS-CM2,ssp245,2053,289.47610474
ACCESS-CM2,ssp245,2054,287.71554565
ACCESS-CM2,ssp245,2055,287.44738770
ACCESS-CM2,ssp245,2056,288.47952271
ACCESS-CM2,ssp245,2057,287.98556519
ACCESS-CM2,ssp245,2058,288.71316528
ACCESS-CM2,ssp245,2059,289.15090942
ACCESS-CM2,ssp245,2060,288.94177246
ACCESS-CM2,ssp245,2061,287.61337280
ACCESS-CM2,ssp245,2062,289.05935669
ACCESS-CM2,ssp245,2063,288.80447388
ACCESS-CM2,ssp245,2064,288.03259277
ACCESS-CM2,ssp245,2065,289.00073242
ACCESS-CM2,ssp245,2066,287.66760254
ACCESS-CM2,ssp245,2067,288.86282349
ACCESS-CM2,ssp245,2068,289.33258057
ACCESS-CM2,ssp245,2069,289.47528076
ACCESS-CM2,ssp245,2070,288.57662964
ACCESS-CM2,ssp245,2071,289.30838013
ACCESS-CM2,ssp245,2072,289.09460449
ACCESS-CM2,ssp245,2073,289.61941528
ACCESS-CM2,ssp245,2074,289.88034058
ACCESS-CM2,ssp245,2075,288.19525146
ACCESS-CM2,ssp245,2076,289.17703247
ACCESS-CM2,ssp245,2077,289.18179321
