model,experiment,year,tas
ACCESS-CM2,historical,1960,277.98992920
ACCESS-CM2,historical,1961,279.17755127
ACCESS-CM2,historical,1962,279.93292236
ACCESS-CM2,historical,1963,278.85757446
ACCESS-CM2,historical,1964,277.05673218
ACCESS-CM2,historical,1965,278.31918335
ACCESS-CM2,historical,1966,276.96646118
ACCESS-CM2,historical,1967,276.76156616
ACCESS-CM2,historical,1968,279.40640259
ACCESS-CM2,historical,1969,276.10968018
ACCESS-CM2,historical,1970,279.07669067
ACCESS-CM2,historical,1971,280.01770020
ACCESS-CM2,historical,1972,276.85366821
ACCESS-CM2,historical,1973,277.80682373
ACCESS-CM2,historical,1974,276.33917236
ACCESS-CM2,historical,1975,276.68048096
ACCESS-CM2,historical,1976,277.76742554
ACCESS-CM2,historical,1977,279.15792847
ACCESS-CM2,historical,1978,279.51403809
ACCESS-CM2,historical,1979,277.29315186
ACCESS-CM2,historical,1980,276.60675049
ACCESS-CM2,historical,1981,280.54968262
ACCESS-CM2,historical,1982,278.22097778
ACCESS-CM2,historical,1983,279.67218018
ACCESS-CM2,historical,1984,278.53546143
ACCESS-CM2,historical,1985,278.64627075
ACCESS-CM2,historical,1986,276.60418701
ACCESS-CM2,historical,1987,278.42056274
ACCESS-CM2,historical,1988,278.27944946
ACCESS-CM2,historical,1989,279.11108398
ACCESS-CM2,historical,1990,278.04067993
ACCESS-CM2,historical,1991,278.53533936
ACCESS-CM2,historical,1992,276.09091187
ACCESS-CM2,historical,1993,278.73645020
ACCESS-CM2,historical,1994,279.31036377
ACCESS-CM2,historical,1995,280.76159668
ACCESS-CM2,historical,1996,277.20999146
ACCESS-CM2,historical,1997,277.99002075
ACCESS-CM2,historical,1998,278.86367798
ACCESS-CM2,historical,1999,277.91128540
ACCESS-CM2,historical,2000,278.30133057
ACCESS-CM2,historical,2001,277.40686035
ACCESS-CM2,historical,2002,277.86645508
ACCESS-CM2,historical,2003,279.18072510
ACCESS-CM2,historical,2004,279.85064697
ACCESS-CM2,historical,2005,279.39389038
ACCESS-CM2,historical,2006,277.69250488
ACCESS-CM2,historical,2007,279.01907349
ACCESS-CM2,historical,2008,276.90969849
ACCESS-CM2,historical,2009,277.18682861
ACCESS-CM2,historical,2010,278.68234253
ACCESS-CM2,historical,2011,278.30233765
ACCESS-CM2,historical,2012,278.09927368
ACCESS-CM2,historical,2013,279.86288452
ACCESS-CM2,historical,2014,279.99212646
ACCESS-CM2,ssp126,2015,279.20489502
ACCESS-CM2,ssp126,2016,278.64865112
ACCESS-CM2,ssp126,2017,278.90847778
ACCESS-CM2,ssp126,2018,278.33789062
ACCESS-CM2,ssp126,2019,280.56558228
ACCESS-CM2,ssp126,2020,281.22113037
ACCESS-CM2,ssp126,2021,278.49114990
ACCESS-CM2,ssp126,2022,279.75134277
ACCESS-CM2,ssp126,2023,280.07675171
ACCESS-CM2,ssp126,2024,278.32989502
ACCESS-CM2,ssp126,2025,279.75061035
ACCESS-CM2,ssp126,2026,278.81616211
ACCESS-CM2,ssp126,2027,279.63549805
ACCESS-CM2,ssp126,2028,279.85745239
ACCESS-CM2,ssp126,2029,278.88555908
ACCESS-CM2,ssp126,2030,279.75250244
ACCESS-CM2,ssp126,2031,278.88031006
ACCESS-CM2,ssp126,2032,278.93533325
ACCESS-CM2,ssp126,2033,277.20346069
ACCESS-CM2,ssp126,2034,278.64038086
ACCESS-CM2,ssp126,2035,278.13739014
ACCESS-CM2,ssp126,2036,277.82543945
ACCESS-CM2,ssp126,2037,277.88641357
ACCESS-CM2,ssp126,2038,279.61700439
ACCESS-CM2,ssp126,2039,279.44415283
ACCESS-CM2,ssp126,2040,278.81991577
ACCESS-CM2,ssp126,2041,279.43188477
ACCESS-CM2,ssp126,2042,278.95251465
ACCESS-CM2,ssp126,2043,280.15115356
ACCESS-CM2,ssp126,2044,278.81790161
ACCESS-CM2,ssp126,2045,279.03698730
ACCESS-CM2,ssp126,2046,278.06826782
ACCESS-CM2,ssp126,2047,280.45416260
ACCESS-CM2,ssp126,2048,279.83004761
ACCESS-CM2,ssp126,2049,280.70184326
ACCESS-CM2,ssp126,2050,279.74212646
ACCESS-CM2,ssp126,2051,278.52661133
ACCESS-CM2,ssp126,2052,280.61489868
ACCESS-CM2,ssp126,2053,280.09234619
ACCESS-CM2,ssp126,2054,280.42587280
ACCESS-CM2,ssp126,2055,278.89422607
ACCESS-CM2,ssp126,2056,279.89068604
ACCESS-CM2,ssp126,2057,278.36099243
ACCESS-CM2,ssp126,2058,278.64605713
ACCESS-CM2,ssp126,2059,280.81802368
ACCESS-CM2,ssp126,2060,280.44998169
ACCESS-CM2,ssp126,2061,280.85543823
ACCESS-CM2,ssp126,2062,279.33407593
ACCESS-CM2,ssp126,2063,279.19714355
ACCESS-CM2,ssp126,2064,280.05383301
ACCESS-CM2,ssp126,2065,280.41806030
ACCESS-CM2,ssp126,2066,278.23608398
ACCESS-CM2,ssp126,2067,280.89749146
ACCESS-CM2,ssp126,2068,279.08148193
ACCESS-CM2,ssp126,2069,279.75314331
ACCESS-CM2,ssp126,2070,280.82510376
ACCESS-CM2,ssp126,2071,280.02343750
ACCESS-CM2,ssp126,2072,281.15899658
ACCESS-CM2,ssp126,2073,279.32397461
ACCESS-CM2,ssp126,2074,279.59280396
ACCESS-CM2,ssp126,2075,281.03878784
ACCESS-CM2,ssp126,2076,281.17965698
ACCESS-CM2,ssp126,2077,280.25286865
ACCESS-CM2,ssp126,2078,278.65838623
ACCESS-CM2,ssp126,2079,280.02954102
ACCESS-CM2,ssp126,2080,281.80383301
ACCESS-CM2,ssp126,2081,279.28576660
ACCESS-CM2,ssp126,2082,279.54864502
ACCESS-CM2,ssp126,2083,277.68783569
ACCESS-CM2,ssp126,2084,279.30081177
ACCESS-CM2,ssp126,2085,279.41946411
ACCESS-CM2,ssp126,2086,281.13519287
