model,experiment,year,tas
ACCESS-CM2,historical,1960,279.40985107
ACCESS-CM2,historical,1961,280.92120361
ACCESS-CM2,historical,1962,280.60131836
ACCESS-CM2,historical,1963,280.35159302
ACCESS-CM2,historical,1964,278.91778564
ACCESS-CM2,historical,1965,279.86190796
ACCESS-CM2,historical,1966,278.30163574
ACCESS-CM2,historical,1967,278.56512451
ACCESS-CM2,historical,1968,280.26071167
ACCESS-CM2,historical,1969,277.72067261
ACCESS-CM2,historical,1970,280.44812012
ACCESS-CM2,historical,1971,281.73571777
ACCESS-CM2,historical,1972,278.03823853
ACCESS-CM2,historical,1973,279.21325684
ACCESS-CM2,historical,1974,278.19882202
ACCESS-CM2,historical,1975,278.14813232
ACCESS-CM2,historical,1976,279.18939209
ACCESS-CM2,historical,1977,280.25054932
ACCESS-CM2,historical,1978,280.82089233
ACCESS-CM2,historical,1979,278.97320557
ACCESS-CM2,historical,1980,278.67175293
ACCESS-CM2,historical,1981,281.14443970
ACCESS-CM2,historical,1982,280.06271362
ACCESS-CM2,historical,1983,280.49295044
ACCESS-CM2,historical,1984,280.56561279
ACCESS-CM2,historical,1985,280.50125122
ACCESS-CM2,historical,1986,279.06167603
ACCESS-CM2,historical,1987,280.73898315
ACCESS-CM2,historical,1988,280.12234497
ACCESS-CM2,historical,1989,280.50473022
ACCESS-CM2,historical,1990,280.09655762
ACCESS-CM2,historical,1991,279.99972534
ACCESS-CM2,historical,1992,278.41290283
ACCESS-CM2,historical,1993,279.89553833
ACCESS-CM2,historical,1994,281.09927368
ACCESS-CM2,historical,1995,281.67816162
ACCESS-CM2,historical,1996,278.52249146
ACCESS-CM2,historical,1997,279.12023926
ACCESS-CM2,historical,1998,280.27200317
ACCESS-CM2,historical,1999,279.52529907
ACCESS-CM2,historical,2000,280.10632324
ACCESS-CM2,historical,2001,279.18725586
ACCESS-CM2,historical,2002,279.42037964
ACCESS-CM2,historical,2003,280.45428467
ACCESS-CM2,historical,2004,281.22625732
ACCESS-CM2,historical,2005,280.88482666
ACCESS-CM2,historical,2006,279.34359741
ACCESS-CM2,historical,2007,280.88119507
ACCESS-CM2,historical,2008,278.54824829
ACCESS-CM2,historical,2009,279.54855347
ACCESS-CM2,historical,2010,280.54141235
ACCESS-CM2,historical,2011,279.75588989
ACCESS-CM2,historical,2012,279.85263062
ACCESS-CM2,historical,2013,281.11248779
ACCESS-CM2,historical,2014,281.10711670
ACCESS-CM2,ssp126,2015,280.87109375
ACCESS-CM2,ssp126,2016,280.74057007
ACCESS-CM2,ssp126,2017,280.72915649
ACCESS-CM2,ssp126,2018,280.39212036
ACCESS-CM2,ssp126,2019,281.97277832
ACCESS-CM2,ssp126,2020,282.46130371
ACCESS-CM2,ssp126,2021,279.99319458
ACCESS-CM2,ssp126,2022,281.62054443
ACCESS-CM2,ssp126,2023,281.44488525
ACCESS-CM2,ssp126,2024,280.34512329
ACCESS-CM2,ssp126,2025,281.33355713
ACCESS-CM2,ssp126,2026,280.67565918
ACCESS-CM2,ssp126,2027,280.89663696
ACCESS-CM2,ssp126,2028,281.67413330
ACCESS-CM2,ssp126,2029,280.82833862
ACCESS-CM2,ssp126,2030,281.21023560
ACCESS-CM2,ssp126,2031,281.11096191
ACCESS-CM2,ssp126,2032,281.04959106
ACCESS-CM2,ssp126,2033,279.42044067
ACCESS-CM2,ssp126,2034,279.99307251
ACCESS-CM2,ssp126,2035,280.23431396
ACCESS-CM2,ssp126,2036,279.60870361
ACCESS-CM2,ssp126,2037,279.86270142
ACCESS-CM2,ssp126,2038,281.21173096
ACCESS-CM2,ssp126,2039,281.08410645
ACCESS-CM2,ssp126,2040,280.26986694
ACCESS-CM2,ssp126,2041,281.37374878
ACCESS-CM2,ssp126,2042,280.65347290
ACCESS-CM2,ssp126,2043,282.44436646
ACCESS-CM2,ssp126,2044,280.74630737
ACCESS-CM2,ssp126,2045,280.66101074
ACCESS-CM2,ssp126,2046,280.17974854
ACCESS-CM2,ssp126,2047,281.85675049
ACCESS-CM2,ssp126,2048,281.11337280
ACCESS-CM2,ssp126,2049,281.72219849
ACCESS-CM2,ssp126,2050,281.12432861
ACCESS-CM2,ssp126,2051,279.97253418
ACCESS-CM2,ssp126,2052,282.12155151
ACCESS-CM2,ssp126,2053,281.72909546
ACCESS-CM2,ssp126,2054,281.87631226
ACCESS-CM2,ssp126,2055,280.98947144
ACCESS-CM2,ssp126,2056,281.71124268
ACCESS-CM2,ssp126,2057,280.40780640
ACCESS-CM2,ssp126,2058,281.28366089
ACCESS-CM2,ssp126,2059,282.26910400
ACCESS-CM2,ssp126,2060,281.97213745
ACCESS-CM2,ssp126,2061,282.38583374
ACCESS-CM2,ssp126,2062,281.52331543
ACCESS-CM2,ssp126,2063,281.30413818
ACCESS-CM2,ssp126,2064,281.13140869
ACCESS-CM2,ssp126,2065,281.65975952
ACCESS-CM2,ssp126,2066,280.73797607
ACCESS-CM2,ssp126,2067,282.10003662
ACCESS-CM2,ssp126,2068,280.40826416
ACCESS-CM2,ssp126,2069,281.33709717
ACCESS-CM2,ssp126,2070,282.02560425
ACCESS-CM2,ssp126,2071,281.48175049
ACCESS-CM2,ssp126,2072,282.81604004
