model,experiment,year,tas
ACCESS-CM2,historical,1960,283.73895264
ACCESS-CM2,historical,1961,284.44671631
ACCESS-CM2,historical,1962,286.22958374
ACCESS-CM2,historical,1963,283.78042603
ACCESS-CM2,historical,1964,284.53512573
ACCESS-CM2,historical,1965,284.10870361
ACCESS-CM2,historical,1966,283.60650635
ACCESS-CM2,historical,1967,284.67611694
ACCESS-CM2,historical,1968,283.95947266
ACCESS-CM2,historical,1969,283.75997925
ACCESS-CM2,historical,1970,284.59146118
ACCESS-CM2,historical,1971,286.39572144
ACCESS-CM2,historical,1972,284.60534668
ACCESS-CM2,historical,1973,283.71795654
ACCESS-CM2,historical,1974,283.56433105
ACCESS-CM2,historical,1975,285.01104736
ACCESS-CM2,historical,1976,284.82131958
ACCESS-CM2,historical,1977,284.92510986
ACCESS-CM2,historical,1978,284.10885620
ACCESS-CM2,historical,1979,286.04953003
ACCESS-CM2,historical,1980,284.46853638
ACCESS-CM2,historical,1981,285.49139404
ACCESS-CM2,historical,1982,284.10565186
ACCESS-CM2,historical,1983,285.51296997
ACCESS-CM2,historical,1984,284.33059692
ACCESS-CM2,historical,1985,283.16638184
ACCESS-CM2,historical,1986,284.26193237
ACCESS-CM2,historical,1987,284.69580078
ACCESS-CM2,historical,1988,285.23876953
ACCESS-CM2,historical,1989,284.36364746
ACCESS-CM2,historical,1990,286.69747925
ACCESS-CM2,historical,1991,284.51666260
ACCESS-CM2,historical,1992,284.00787354
ACCESS-CM2,historical,1993,285.45712280
ACCESS-CM2,historical,1994,284.14651489
ACCESS-CM2,historical,1995,284.39593506
ACCESS-CM2,historical,1996,283.04611206
ACCESS-CM2,historical,1997,285.23471069
ACCESS-CM2,historical,1998,283.63903809
ACCESS-CM2,historical,1999,283.69863892
ACCESS-CM2,historical,2000,285.17587280
ACCESS-CM2,historical,2001,284.12756348
ACCESS-CM2,historical,2002,284.54962158
ACCESS-CM2,historical,2003,285.93005371
ACCESS-CM2,historical,2004,285.02169800
ACCESS-CM2,historical,2005,283.54296875
ACCESS-CM2,historical,2006,285.92620850
ACCESS-CM2,historical,2007,285.25967407
ACCESS-CM2,historical,2008,283.77896118
ACCESS-CM2,historical,2009,285.32473755
ACCESS-CM2,historical,2010,285.61715698
ACCESS-CM2,historical,2011,284.04061890
ACCESS-CM2,historical,2012,284.21154785
ACCESS-CM2,historical,2013,285.63476562
ACCESS-CM2,historical,2014,286.45855713
ACCESS-CM2,ssp126,2015,285.71356201
ACCESS-CM2,ssp126,2016,285.05560303
ACCESS-CM2,ssp126,2017,285.20932007
ACCESS-CM2,ssp126,2018,286.37384033
ACCESS-CM2,ssp126,2019,285.86981201
ACCESS-CM2,ssp126,2020,284.59988403
ACCESS-CM2,ssp126,2021,285.30340576
ACCESS-CM2,ssp126,2022,286.09109497
ACCESS-CM2,ssp126,2023,285.26031494
ACCESS-CM2,ssp126,2024,285.01806641
ACCESS-CM2,ssp126,2025,287.53668213
ACCESS-CM2,ssp126,2026,285.12225342
ACCESS-CM2,ssp126,2027,287.39529419
ACCESS-CM2,ssp126,2028,285.35839844
ACCESS-CM2,ssp126,2029,285.67892456
ACCESS-CM2,ssp126,2030,286.54718018
ACCESS-CM2,ssp126,2031,285.56613159
ACCESS-CM2,ssp126,2032,284.93658447
ACCESS-CM2,ssp126,2033,286.57159424
ACCESS-CM2,ssp126,2034,285.77078247
ACCESS-CM2,ssp126,2035,284.87100220
ACCESS-CM2,ssp126,2036,286.15539551
ACCESS-CM2,ssp126,2037,284.25479126
ACCESS-CM2,ssp126,2038,286.28759766
ACCESS-CM2,ssp126,2039,285.92492676
ACCESS-CM2,ssp126,2040,285.97409058
ACCESS-CM2,ssp126,2041,285.82284546
ACCESS-CM2,ssp126,2042,285.77389526
ACCESS-CM2,ssp126,2043,286.86703491
ACCESS-CM2,ssp126,2044,286.09957886
ACCESS-CM2,ssp126,2045,285.02731323
ACCESS-CM2,ssp126,2046,285.74597168
ACCESS-CM2,ssp126,2047,286.55377197
ACCESS-CM2,ssp126,2048,286.32586670
ACCESS-CM2,ssp126,2049,286.16705322
ACCESS-CM2,ssp126,2050,284.05566406
ACCESS-CM2,ssp126,2051,288.01785278
ACCESS-CM2,ssp126,2052,286.31207275
ACCESS-CM2,ssp126,2053,287.32843018
ACCESS-CM2,ssp126,2054,287.45968628
ACCESS-CM2,ssp126,2055,286.39053345
ACCESS-CM2,ssp126,2056,287.38372803
ACCESS-CM2,ssp126,2057,286.86328125
ACCESS-CM2,ssp126,2058,286.23297119
ACCESS-CM2,ssp126,2059,287.52496338
ACCESS-CM2,ssp126,2060,287.09216309
ACCESS-CM2,ssp126,2061,286.72723389
ACCESS-CM2,ssp126,2062,287.98767090
ACCESS-CM2,ssp126,2063,285.26062012
ACCESS-CM2,ssp126,2064,287.50378418
ACCESS-CM2,ssp126,2065,287.15603638
ACCESS-CM2,ssp126,2066,286.12344360
ACCESS-CM2,ssp126,2067,286.71066284
ACCESS-CM2,ssp126,2068,285.60174561
ACCESS-CM2,ssp126,2069,288.41101074
ACCESS-CM2,ssp126,2070,285.89926147
ACCESS-CM2,ssp126,2071,286.84017944
ACCESS-CM2,ssp126,2072,285.75195312
ACCESS-CM2,ssp126,2073,287.06820679
ACCESS-CM2,ssp126,2074,285.51516724
ACCESS-CM2,ssp126,2075,286.95278931
ACCESS-CM2,ssp126,2076,286.64797974
ACCESS-CM2,ssp126,2077,286.81790161
ACCESS-CM2,ssp126,2078,286.90637207
ACCESS-CM2,ssp126,2079,288.13449097
ACCESS-CM2,ssp126,2080,285.39743042
ACCESS-CM2,ssp126,2081,287.94525146
ACCESS-CM2,ssp126,2082,285.62493896
ACCESS-CM2,ssp126,2083,287.42965698
ACCESS-CM2,ssp126,2084,285.36895752
ACCESS-CM2,ssp126,2085,286.57165527
ACCESS-CM2,ssp126,2086,286.71609497
ACCESS-CM2,ssp126,2087,286.40832520
ACCESS-CM2,ssp126,2088,286.05279541
ACCESS-CM2,ssp126,2089,288.05389404
ACCESS-CM2,ssp126,2090,285.22155762
ACCESS-CM2,ssp126,2091,287.44256592
ACCESS-CM2,ssp126,2092,286.81375122
