model,experiment,year,tas
ACCESS-CM2,historical,1960,282.66592407
ACCESS-CM2,historical,1961,283.62384033
ACCESS-CM2,historical,1962,285.25042725
ACCESS-CM2,historical,1963,283.09579468
ACCESS-CM2,historical,1964,283.52975464
ACCESS-CM2,historical,1965,283.12551880
ACCESS-CM2,historical,1966,282.72610474
ACCESS-CM2,historical,1967,283.95837402
ACCESS-CM2,historical,1968,283.19876099
ACCESS-CM2,historical,1969,282.68634033
ACCESS-CM2,historical,1970,283.39794922
ACCESS-CM2,historical,1971,285.47811890
ACCESS-CM2,historical,1972,283.66406250
ACCESS-CM2,historical,1973,282.41867065
ACCESS-CM2,historical,1974,282.64260864
ACCESS-CM2,historical,1975,284.04483032
ACCESS-CM2,historical,1976,283.77206421
ACCESS-CM2,historical,1977,283.90017700
ACCESS-CM2,historical,1978,283.01998901
ACCESS-CM2,historical,1979,285.08990479
ACCESS-CM2,historical,1980,283.08203125
ACCESS-CM2,historical,1981,284.38214111
ACCESS-CM2,historical,1982,283.13360596
ACCESS-CM2,historical,1983,284.80065918
ACCESS-CM2,historical,1984,283.51275635
ACCESS-CM2,historical,1985,282.24258423
ACCESS-CM2,historical,1986,283.47824097
ACCESS-CM2,historical,1987,283.58322144
ACCESS-CM2,historical,1988,284.17871094
ACCESS-CM2,historical,1989,283.38687134
ACCESS-CM2,historical,1990,285.57034302
ACCESS-CM2,historical,1991,283.72238159
ACCESS-CM2,historical,1992,283.19354248
ACCESS-CM2,historical,1993,284.43939209
ACCESS-CM2,historical,1994,283.18765259
ACCESS-CM2,historical,1995,283.42791748
ACCESS-CM2,historical,1996,282.08850098
ACCESS-CM2,historical,1997,284.42346191
ACCESS-CM2,historical,1998,282.68228149
ACCESS-CM2,historical,1999,282.52642822
ACCESS-CM2,historical,2000,284.49874878
ACCESS-CM2,historical,2001,283.23898315
ACCESS-CM2,historical,2002,283.82498169
ACCESS-CM2,historical,2003,284.69186401
ACCESS-CM2,historical,2004,283.91226196
ACCESS-CM2,historical,2005,282.62509155
ACCESS-CM2,historical,2006,284.79562378
ACCESS-CM2,historical,2007,284.27868652
ACCESS-CM2,historical,2008,282.77197266
ACCESS-CM2,historical,2009,284.51159668
ACCESS-CM2,historical,2010,284.44180298
ACCESS-CM2,historical,2011,283.35049438
ACCESS-CM2,historical,2012,283.31912231
ACCESS-CM2,historical,2013,284.63522339
ACCESS-CM2,historical,2014,285.31219482
ACCESS-CM2,ssp126,2015,284.73764038
ACCESS-CM2,ssp126,2016,284.25277710
ACCESS-CM2,ssp126,2017,284.37881470
ACCESS-CM2,ssp126,2018,285.89395142
ACCESS-CM2,ssp126,2019,284.98153687
ACCESS-CM2,ssp126,2020,283.67764282
ACCESS-CM2,ssp126,2021,284.63839722
ACCESS-CM2,ssp126,2022,285.30252075
ACCESS-CM2,ssp126,2023,284.25729370
ACCESS-CM2,ssp126,2024,284.19689941
ACCESS-CM2,ssp126,2025,286.62008667
ACCESS-CM2,ssp126,2026,283.87945557
ACCESS-CM2,ssp126,2027,286.21249390
ACCESS-CM2,ssp126,2028,284.51315308
ACCESS-CM2,ssp126,2029,285.00320435
ACCESS-CM2,ssp126,2030,285.75146484
ACCESS-CM2,ssp126,2031,284.76055908
ACCESS-CM2,ssp126,2032,284.15707397
ACCESS-CM2,ssp126,2033,285.60986328
ACCESS-CM2,ssp126,2034,284.80899048
ACCESS-CM2,ssp126,2035,283.50631714
ACCESS-CM2,ssp126,2036,285.45916748
ACCESS-CM2,ssp126,2037,283.41308594
ACCESS-CM2,ssp126,2038,285.28717041
ACCESS-CM2,ssp126,2039,285.21374512
ACCESS-CM2,ssp126,2040,284.61407471
ACCESS-CM2,ssp126,2041,284.66192627
ACCESS-CM2,ssp126,2042,284.97979736
ACCESS-CM2,ssp126,2043,285.98696899
ACCESS-CM2,ssp126,2044,284.88662720
ACCESS-CM2,ssp126,2045,284.17712402
ACCESS-CM2,ssp126,2046,284.87402344
ACCESS-CM2,ssp126,2047,285.76681519
ACCESS-CM2,ssp126,2048,285.50765991
ACCESS-CM2,ssp126,2049,285.47161865
ACCESS-CM2,ssp126,2050,282.92446899
ACCESS-CM2,ssp126,2051,286.98541260
ACCESS-CM2,ssp126,2052,285.68460083
ACCESS-CM2,ssp126,2053,286.27795410
ACCESS-CM2,ssp126,2054,286.70068359
ACCESS-CM2,ssp126,2055,285.72836304
ACCESS-CM2,ssp126,2056,286.71530151
ACCESS-CM2,ssp126,2057,286.03912354
ACCESS-CM2,ssp126,2058,285.47149658
ACCESS-CM2,ssp126,2059,286.86575317
ACCESS-CM2,ssp126,2060,286.39712524
ACCESS-CM2,ssp126,2061,285.72741699
ACCESS-CM2,ssp126,2062,287.09011841
ACCESS-CM2,ssp126,2063,284.42919922
ACCESS-CM2,ssp126,2064,286.59362793
ACCESS-CM2,ssp126,2065,285.94277954
ACCESS-CM2,ssp126,2066,285.01123047
ACCESS-CM2,ssp126,2067,285.77880859
ACCESS-CM2,ssp126,2068,284.79449463
ACCESS-CM2,ssp126,2069,287.44662476
ACCESS-CM2,ssp126,2070,285.00408936
ACCESS-CM2,ssp126,2071,285.82632446
ACCESS-CM2,ssp126,2072,285.23449707
ACCESS-CM2,ssp126,2073,286.17630005
ACCESS-CM2,ssp126,2074,284.11819458
ACCESS-CM2,ssp126,2075,286.09442139
ACCESS-CM2,ssp126,2076,285.72665405
ACCESS-CM2,ssp126,2077,285.84094238
ACCESS-CM2,ssp126,2078,285.96527100
ACCESS-CM2,ssp126,2079,287.40936279
ACCESS-CM2,ssp126,2080,284.31137085
ACCESS-CM2,ssp126,2081,286.86221313
ACCESS-CM2,ssp126,2082,284.74261475
ACCESS-CM2,ssp126,2083,286.21316528
ACCESS-CM2,ssp126,2084,284.50454712
ACCESS-CM2,ssp126,2085,285.65322876
ACCESS-CM2,ssp126,2086,285.75009155
ACCESS-CM2,ssp126,2087,285.44137573
ACCESS-CM2,ssp126,2088,285.14352417
ACCESS-CM2,ssp126,2089,287.18380737
ACCESS-CM2,ssp126,2090,284.11865234
ACCESS-CM2,ssp126,2091,286.46047974
ACCESS-CM2,ssp126,2092,286.03701782
ACCESS-CM2,ssp126,2093,285.58181763
ACCESS-CM2,ssp126,2094,285.63482666
ACCESS-CM2,ssp126,2095,283.50387573
ACCESS-CM2,ssp126,2096,286.46963501
ACCESS-CM2,ssp126,2097,284.94317627
ACCESS-CM2,ssp126,2098,286.07131958
ACCESS-CM2,ssp126,2099,284.14926147
ACCESS-CM2,ssp245,2015,285.58108521
ACCESS-CM2,ssp245,2016,284.27947998
ACCESS-CM2,ssp245,2017,283.23812866
ACCESS-CM2,ssp245,2018,284.47058105
ACCESS-CM2,ssp245,2019,284.57217407
ACCESS-CM2,ssp245,2020,283.53988647
ACCESS-CM2,ssp245,2021,284.90832520
ACCESS-CM2,ssp245,2022,284.90866089
ACCESS-CM2,ssp245,2023,284.48840332
ACCESS-CM2,ssp245,2024,284.70162964
ACCESS-CM2,ssp245,2025,285.60308838
ACCESS-CM2,ssp245,2026,284.50299072
ACCESS-CM2,ssp245,2027,285.02819824
ACCESS-CM2,ssp245,2028,285.91403198
ACCESS-CM2,ssp245,2029,283.68902588
ACCESS-CM2,ssp245,2030,284.53512573
ACCESS-CM2,ssp245,2031,283.81481934
ACCESS-CM2,ssp245,2032,285.43380737
ACCESS-CM2,ssp245,2033,285.76278687
ACCESS-CM2,ssp245,2034,285.57205200
ACCESS-CM2,ssp245,2035,285.24276733
ACCESS-CM2,ssp245,2036,286.04312134
ACCESS-CM2,ssp245,2037,284.80007935
ACCESS-CM2,ssp245,2038,285.78359985
ACCESS-CM2,ssp245,2039,285.52139282
ACCESS-CM2,ssp245,2040,283.87942505
ACCESS-CM2,ssp245,2041,286.80023193
ACCESS-CM2,ssp245,2042,285.04281616
ACCESS-CM2,ssp245,2043,286.52560425
ACCESS-CM2,ssp245,2044,285.35861206
ACCESS-CM2,ssp245,2045,285.15542603
ACCESS-CM2,ssp245,2046,286.19979858
ACCESS-CM2,ssp245,2047,286.74572754
ACCESS-CM2,ssp245,2048,283.10729980
ACCESS-CM2,ssp245,2049,285.62985229
ACCESS-CM2,ssp245,2050,285.99960327
ACCESS-CM2,ssp245,2051,285.99771118
ACCESS-CM2,ssp245,2052,285.83218384
ACCESS-CM2,ssp245,2053,287.62109375
ACCESS-CM2,ssp245,2054,284.84756470
ACCESS-CM2,ssp245,2055,287.76190186
ACCESS-CM2,ssp245,2056,285.74862671
ACCESS-CM2,ssp245,2057,285.65017700
ACCESS-CM2,ssp245,2058,286.89489746
ACCESS-CM2,ssp245,2059,286.83624268
ACCESS-CM2,ssp245,2060,285.32513428
ACCESS-CM2,ssp245,2061,286.27703857
ACCESS-CM2,ssp245,2062,286.76965332
ACCESS-CM2,ssp245,2063,287.58843994
ACCESS-CM2,ssp245,2064,287.78515625
ACCESS-CM2,ssp245,2065,284.80212402
ACCESS-CM2,ssp245,2066,286.83743286
ACCESS-CM2,ssp245,2067,286.15252686
ACCESS-CM2,ssp245,2068,286.07498169
ACCESS-CM2,ssp245,2069,286.81881714
ACCESS-CM2,ssp245,2070,285.92434692
ACCESS-CM2,ssp245,2071,287.74395752
ACCESS-CM2,ssp245,2072,286.49719238
ACCESS-CM2,ssp245,2073,287.13491821
ACCESS-CM2,ssp245,2074,286.67028809
ACCESS-CM2,ssp245,2075,286.02554321
ACCESS-CM2,ssp245,2076,286.79895020
ACCESS-CM2,ssp245,2077,286.38174438
ACCESS-CM2,ssp245,2078,286.86184692
ACCESS-CM2,ssp245,2079,285.69293213
ACCESS-CM2,ssp245,2080,286.47207642
ACCESS-CM2,ssp245,2081,285.85202026
ACCESS-CM2,ssp245,2082,286.03460693
ACCESS-CM2,ssp245,2083,287.77987671
ACCESS-CM2,ssp245,2084,285.39865112
ACCESS-CM2,ssp245,2085,287.23153687
ACCESS-CM2,ssp245,2086,285.26187134
ACCESS-CM2,ssp245,2087,287.11111450
ACCESS-CM2,ssp245,2088,284.79989624
ACCESS-CM2,ssp245,2089,289.61706543
ACCESS-CM2,ssp245,2090,287.88497925
ACCESS-CM2,ssp245,2091,286.06802368
ACCESS-CM2,ssp245,2092,288.26785278
ACCESS-CM2,ssp245,2093,286.26571655
ACCESS-CM2,ssp245,2094,288.41656494
ACCESS-CM2,ssp245,2095,286.36917114
ACCESS-CM2,ssp245,2096,287.19833374
ACCESS-CM2,ssp245,2097,286.72381592
ACCESS-CM2,ssp245,2098,288.08612061
ACCESS-CM2,ssp245,2099,287.47772217
ACCESS-CM2,ssp370,2015,283.84313965
ACCESS-CM2,ssp370,2016,285.26419067
ACCESS-CM2,ssp370,2017,283.92160034
ACCESS-CM2,ssp370,2018,285.65386963
ACCESS-CM2,ssp370,2019,283.42880249
ACCESS-CM2,ssp370,2020,284.69085693
ACCESS-CM2,ssp370,2021,285.70617676
ACCESS-CM2,ssp370,2022,283.89291382
ACCESS-CM2,ssp370,2023,283.83102417
ACCESS-CM2,ssp370,2024,285.13143921
ACCESS-CM2,ssp370,2025,283.84353638
ACCESS-CM2,ssp370,2026,285.98464966
ACCESS-CM2,ssp370,2027,286.08264160
ACCESS-CM2,ssp370,2028,286.00979614
ACCESS-CM2,ssp370,2029,285.20425415
ACCESS-CM2,ssp370,2030,286.23883057
ACCESS-CM2,ssp370,2031,284.48748779
ACCESS-CM2,ssp370,2032,284.15963745
ACCESS-CM2,ssp370,2033,286.08087158
ACCESS-CM2,ssp370,2034,284.54205322
ACCESS-CM2,ssp370,2035,284.97335815
ACCESS-CM2,ssp370,2036,285.33877563
ACCESS-CM2,ssp370,2037,286.01275635
ACCESS-CM2,ssp370,2038,285.83724976
ACCESS-CM2,ssp370,2039,286.27246094
ACCESS-CM2,ssp370,2040,285.31649780
ACCESS-CM2,ssp370,2041,284.86355591
ACCESS-CM2,ssp370,2042,286.71365356
ACCESS-CM2,ssp370,2043,285.06549072
ACCESS-CM2,ssp370,2044,287.45730591
ACCESS-CM2,ssp370,2045,285.83209229
ACCESS-CM2,ssp370,2046,286.77218628
ACCESS-CM2,ssp370,2047,287.14126587
ACCESS-CM2,ssp370,2048,284.91744995
