model,experiment,year,tas
ACCESS-CM2,historical,1960,283.33239746
ACCESS-CM2,historical,1961,282.80581665
ACCESS-CM2,historical,1962,281.85485840
ACCESS-CM2,historical,1963,281.08587646
ACCESS-CM2,historical,1964,283.06216431
ACCESS-CM2,historical,1965,283.30621338
ACCESS-CM2,historical,1966,282.85263062
ACCESS-CM2,historical,1967,282.84497070
ACCESS-CM2,historical,1968,282.72106934
ACCESS-CM2,historical,1969,282.23574829
ACCESS-CM2,historical,1970,282.70111084
ACCESS-CM2,historical,1971,281.82870483
ACCESS-CM2,historical,1972,281.51272583
ACCESS-CM2,historical,1973,281.99118042
ACCESS-CM2,historical,1974,282.31488037
ACCESS-CM2,historical,1975,282.99594116
ACCESS-CM2,historical,1976,283.62200928
ACCESS-CM2,historical,1977,282.40960693
ACCESS-CM2,historical,1978,282.33193970
ACCESS-CM2,historical,1979,282.98458862
ACCESS-CM2,historical,1980,281.50531006
ACCESS-CM2,historical,1981,283.01657104
ACCESS-CM2,historical,1982,282.57037354
ACCESS-CM2,historical,1983,283.28189087
ACCESS-CM2,historical,1984,282.02557373
ACCESS-CM2,historical,1985,283.50408936
ACCESS-CM2,historical,1986,283.51022339
ACCESS-CM2,historical,1987,283.46743774
ACCESS-CM2,historical,1988,282.51998901
ACCESS-CM2,historical,1989,282.75640869
ACCESS-CM2,historical,1990,280.89007568
ACCESS-CM2,historical,1991,282.29980469
ACCESS-CM2,historical,1992,281.23376465
ACCESS-CM2,historical,1993,283.59576416
ACCESS-CM2,historical,1994,283.50625610
ACCESS-CM2,historical,1995,282.77777100
ACCESS-CM2,historical,1996,282.75506592
ACCESS-CM2,historical,1997,282.61926270
ACCESS-CM2,historical,1998,282.26760864
ACCESS-CM2,historical,1999,283.22424316
ACCESS-CM2,historical,2000,283.16320801
ACCESS-CM2,historical,2001,283.04980469
ACCESS-CM2,historical,2002,283.82415771
ACCESS-CM2,historical,2003,283.85208130
ACCESS-CM2,historical,2004,283.57159424
ACCESS-CM2,historical,2005,283.47128296
ACCESS-CM2,historical,2006,282.82012939
ACCESS-CM2,historical,2007,283.41928101
ACCESS-CM2,historical,2008,282.00262451
ACCESS-CM2,historical,2009,283.63983154
ACCESS-CM2,historical,2010,283.18841553
ACCESS-CM2,historical,2011,283.11068726
ACCESS-CM2,historical,2012,282.38937378
ACCESS-CM2,historical,2013,284.83718872
ACCESS-CM2,historical,2014,283.70965576
ACCESS-CM2,ssp126,2015,283.99520874
ACCESS-CM2,ssp126,2016,283.94158936
ACCESS-CM2,ssp126,2017,283.39865112
ACCESS-CM2,ssp126,2018,283.42752075
ACCESS-CM2,ssp126,2019,284.29614258
ACCESS-CM2,ssp126,2020,282.76168823
ACCESS-CM2,ssp126,2021,282.55758667
ACCESS-CM2,ssp126,2022,282.63711548
ACCESS-CM2,ssp126,2023,283.93679810
ACCESS-CM2,ssp126,2024,283.35775757
ACCESS-CM2,ssp126,2025,283.34744263
ACCESS-CM2,ssp126,2026,284.53753662
ACCESS-CM2,ssp126,2027,285.39254761
ACCESS-CM2,ssp126,2028,283.34884644
ACCESS-CM2,ssp126,2029,284.33764648
ACCESS-CM2,ssp126,2030,282.35681152
ACCESS-CM2,ssp126,2031,283.50128174
ACCESS-CM2,ssp126,2032,282.86703491
ACCESS-CM2,ssp126,2033,282.92800903
ACCESS-CM2,ssp126,2034,284.06198120
ACCESS-CM2,ssp126,2035,283.20742798
ACCESS-CM2,ssp126,2036,283.50167847
ACCESS-CM2,ssp126,2037,281.60653687
ACCESS-CM2,ssp126,2038,283.98434448
ACCESS-CM2,ssp126,2039,283.41412354
ACCESS-CM2,ssp126,2040,282.66952515
ACCESS-CM2,ssp126,2041,282.23135376
ACCESS-CM2,ssp126,2042,283.33551025
ACCESS-CM2,ssp126,2043,283.02517700
ACCESS-CM2,ssp126,2044,284.41046143
ACCESS-CM2,ssp126,2045,283.29071045
ACCESS-CM2,ssp126,2046,283.22842407
ACCESS-CM2,ssp126,2047,285.20925903
ACCESS-CM2,ssp126,2048,284.44702148
ACCESS-CM2,ssp126,2049,283.73892212
ACCESS-CM2,ssp126,2050,284.10095215
ACCESS-CM2,ssp126,2051,285.32000732
ACCESS-CM2,ssp126,2052,284.55645752
ACCESS-CM2,ssp126,2053,284.61187744
ACCESS-CM2,ssp126,2054,283.66253662
ACCESS-CM2,ssp126,2055,285.02847290
ACCESS-CM2,ssp126,2056,284.65231323
ACCESS-CM2,ssp126,2057,283.85150146
ACCESS-CM2,ssp126,2058,285.34103394
ACCESS-CM2,ssp126,2059,283.17474365
ACCESS-CM2,ssp126,2060,283.93322754
ACCESS-CM2,ssp126,2061,284.02761841
ACCESS-CM2,ssp126,2062,283.23315430
ACCESS-CM2,ssp126,2063,282.94049072
ACCESS-CM2,ssp126,2064,284.67712402
ACCESS-CM2,ssp126,2065,284.81286621
