model,experiment,year,tas
ACCESS-CM2,historical,1960,281.59405518
ACCESS-CM2,historical,1961,281.17767334
ACCESS-CM2,historical,1962,279.27185059
ACCESS-CM2,historical,1963,278.78378296
ACCESS-CM2,historical,1964,280.58377075
ACCESS-CM2,historical,1965,281.42294312
ACCESS-CM2,historical,1966,281.04238892
ACCESS-CM2,historical,1967,280.37112427
ACCESS-CM2,historical,1968,280.94543457
ACCESS-CM2,historical,1969,280.19577026
ACCESS-CM2,historical,1970,280.94635010
ACCESS-CM2,historical,1971,279.53805542
ACCESS-CM2,historical,1972,279.28384399
ACCESS-CM2,historical,1973,279.99588013
ACCESS-CM2,historical,1974,279.67160034
ACCESS-CM2,historical,1975,280.79998779
ACCESS-CM2,historical,1976,281.51455688
ACCESS-CM2,historical,1977,280.80154419
ACCESS-CM2,historical,1978,280.54895020
ACCESS-CM2,historical,1979,280.63626099
ACCESS-CM2,historical,1980,278.83978271
ACCESS-CM2,historical,1981,281.12179565
ACCESS-CM2,historical,1982,280.26239014
ACCESS-CM2,historical,1983,281.38421631
ACCESS-CM2,historical,1984,280.49591064
ACCESS-CM2,historical,1985,281.81823730
ACCESS-CM2,historical,1986,281.89706421
ACCESS-CM2,historical,1987,281.27386475
ACCESS-CM2,historical,1988,280.05871582
ACCESS-CM2,historical,1989,281.08477783
ACCESS-CM2,historical,1990,278.45120239
ACCESS-CM2,historical,1991,280.30273438
ACCESS-CM2,historical,1992,278.81356812
ACCESS-CM2,historical,1993,281.86309814
ACCESS-CM2,historical,1994,281.58914185
ACCESS-CM2,historical,1995,280.98315430
ACCESS-CM2,historical,1996,280.74566650
ACCESS-CM2,historical,1997,280.72973633
ACCESS-CM2,historical,1998,280.36138916
ACCESS-CM2,historical,1999,281.35653687
ACCESS-CM2,historical,2000,281.13052368
ACCESS-CM2,historical,2001,280.55642700
ACCESS-CM2,historical,2002,281.67474365
ACCESS-CM2,historical,2003,282.44439697
ACCESS-CM2,historical,2004,281.65603638
