model,experiment,year,tas
ACCESS-CM2,historical,1960,281.72091675
ACCESS-CM2,historical,1961,281.10559082
ACCESS-CM2,historical,1962,280.21557617
ACCESS-CM2,historical,1963,279.74172974
ACCESS-CM2,historical,1964,281.14871216
ACCESS-CM2,historical,1965,281.51242065
ACCESS-CM2,historical,1966,281.13638306
ACCESS-CM2,historical,1967,280.92327881
ACCESS-CM2,historical,1968,281.04745483
ACCESS-CM2,historical,1969,280.38607788
ACCESS-CM2,historical,1970,281.13403320
ACCESS-CM2,historical,1971,279.80175781
ACCESS-CM2,historical,1972,280.06500244
ACCESS-CM2,historical,1973,280.68243408
ACCESS-CM2,historical,1974,280.00350952
ACCESS-CM2,historical,1975,281.12619019
ACCESS-CM2,historical,1976,281.87469482
ACCESS-CM2,historical,1977,280.71035767
ACCESS-CM2,historical,1978,280.52648926
ACCESS-CM2,historical,1979,280.85409546
ACCESS-CM2,historical,1980,279.58071899
ACCESS-CM2,historical,1981,281.68151855
ACCESS-CM2,historical,1982,280.68087769
ACCESS-CM2,historical,1983,281.38861084
ACCESS-CM2,historical,1984,280.47943115
ACCESS-CM2,historical,1985,281.74197388
ACCESS-CM2,historical,1986,282.06066895
ACCESS-CM2,historical,1987,281.87200928
ACCESS-CM2,historical,1988,280.80368042
ACCESS-CM2,historical,1989,281.31521606
ACCESS-CM2,historical,1990,279.23867798
ACCESS-CM2,historical,1991,280.68768311
ACCESS-CM2,historical,1992,279.57962036
ACCESS-CM2,historical,1993,281.84664917
ACCESS-CM2,historical,1994,281.99670410
ACCESS-CM2,historical,1995,281.13439941
ACCESS-CM2,historical,1996,281.24044800
ACCESS-CM2,historical,1997,281.20715332
ACCESS-CM2,historical,1998,281.10101318
ACCESS-CM2,historical,1999,281.46771240
ACCESS-CM2,historical,2000,281.18209839
ACCESS-CM2,historical,2001,281.33361816
ACCESS-CM2,historical,2002,282.02905273
ACCESS-CM2,historical,2003,282.10339355
ACCESS-CM2,historical,2004,281.95877075
ACCESS-CM2,historical,2005,281.86248779
ACCESS-CM2,historical,2006,280.93872070
ACCESS-CM2,historical,2007,281.99298096
ACCESS-CM2,historical,2008,280.62640381
ACCESS-CM2,historical,2009,281.72720337
ACCESS-CM2,historical,2010,281.84790039
ACCESS-CM2,historical,2011,281.56054688
ACCESS-CM2,historical,2012,280.69528198
ACCESS-CM2,historical,2013,282.85272217
ACCESS-CM2,historical,2014,281.71636963
ACCESS-CM2,ssp126,2015,282.66757202
ACCESS-CM2,ssp126,2016,282.12789917
ACCESS-CM2,ssp126,2017,281.71209717
ACCESS-CM2,ssp126,2018,281.98168945
ACCESS-CM2,ssp126,2019,282.59317017
ACCESS-CM2,ssp126,2020,281.50430298
ACCESS-CM2,ssp126,2021,281.14874268
ACCESS-CM2,ssp126,2022,280.91830444
ACCESS-CM2,ssp126,2023,282.44555664
ACCESS-CM2,ssp126,2024,281.49917603
ACCESS-CM2,ssp126,2025,281.70886230
ACCESS-CM2,ssp126,2026,282.80776978
ACCESS-CM2,ssp126,2027,283.06677246
ACCESS-CM2,ssp126,2028,281.87445068
ACCESS-CM2,ssp126,2029,282.19891357
ACCESS-CM2,ssp126,2030,280.88903809
ACCESS-CM2,ssp126,2031,281.61361694
ACCESS-CM2,ssp126,2032,281.33135986
ACCESS-CM2,ssp126,2033,281.45156860
ACCESS-CM2,ssp126,2034,282.39294434
ACCESS-CM2,ssp126,2035,281.30844116
ACCESS-CM2,ssp126,2036,281.77630615
ACCESS-CM2,ssp126,2037,279.86386108
ACCESS-CM2,ssp126,2038,282.37252808
ACCESS-CM2,ssp126,2039,281.45739746
ACCESS-CM2,ssp126,2040,280.81838989
ACCESS-CM2,ssp126,2041,280.52172852
ACCESS-CM2,ssp126,2042,281.65777588
ACCESS-CM2,ssp126,2043,281.17642212
ACCESS-CM2,ssp126,2044,282.53387451
ACCESS-CM2,ssp126,2045,281.72586060
ACCESS-CM2,ssp126,2046,281.50970459
ACCESS-CM2,ssp126,2047,282.99261475
ACCESS-CM2,ssp126,2048,282.96972656
ACCESS-CM2,ssp126,2049,282.10369873
ACCESS-CM2,ssp126,2050,281.93176270
ACCESS-CM2,ssp126,2051,283.24478149
ACCESS-CM2,ssp126,2052,282.93923950
ACCESS-CM2,ssp126,2053,283.08743286
ACCESS-CM2,ssp126,2054,282.13241577
ACCESS-CM2,ssp126,2055,283.33728027
ACCESS-CM2,ssp126,2056,283.15054321
ACCESS-CM2,ssp126,2057,281.96371460
ACCESS-CM2,ssp126,2058,283.58630371
ACCESS-CM2,ssp126,2059,281.74508667
ACCESS-CM2,ssp126,2060,282.09976196
ACCESS-CM2,ssp126,2061,282.36914062
ACCESS-CM2,ssp126,2062,282.14422607
ACCESS-CM2,ssp126,2063,281.07989502
ACCESS-CM2,ssp126,2064,283.33856201
ACCESS-CM2,ssp126,2065,283.11624146
ACCESS-CM2,ssp126,2066,282.21197510
ACCESS-CM2,ssp126,2067,282.64776611
ACCESS-CM2,ssp126,2068,282.21954346
ACCESS-CM2,ssp126,2069,284.00457764
ACCESS-CM2,ssp126,2070,283.28198242
ACCESS-CM2,ssp126,2071,282.52133179
ACCESS-CM2,ssp126,2072,282.73422241
ACCESS-CM2,ssp126,2073,283.76528931
ACCESS-CM2,ssp126,2074,283.01388550
ACCESS-CM2,ssp126,2075,283.47763062
ACCESS-CM2,ssp126,2076,281.86044312
ACCESS-CM2,ssp126,2077,283.09582520
ACCESS-CM2,ssp126,2078,283.36859131
ACCESS-CM2,ssp126,2079,283.22222900
ACCESS-CM2,ssp126,2080,283.32290649
ACCESS-CM2,ssp126,2081,284.17996216
ACCESS-CM2,ssp126,2082,282.59951782
ACCESS-CM2,ssp126,2083,283.14071655
ACCESS-CM2,ssp126,2084,281.63787842
ACCESS-CM2,ssp126,2085,282.79946899
ACCESS-CM2,ssp126,2086,282.54745483
ACCESS-CM2,ssp126,2087,282.69900513
ACCESS-CM2,ssp126,2088,283.16073608
ACCESS-CM2,ssp126,2089,281.99905396
ACCESS-CM2,ssp126,2090,280.40280151
ACCESS-CM2,ssp126,2091,283.06930542
ACCESS-CM2,ssp126,2092,282.49792480
ACCESS-CM2,ssp126,2093,282.37625122
ACCESS-CM2,ssp126,2094,283.21191406
ACCESS-CM2,ssp126,2095,281.67645264
ACCESS-CM2,ssp126,2096,284.10681152
ACCESS-CM2,ssp126,2097,283.11550903
ACCESS-CM2,ssp126,2098,282.94436646
ACCESS-CM2,ssp126,2099,282.15872192
ACCESS-CM2,ssp245,2015,281.31390381
ACCESS-CM2,ssp245,2016,281.13052368
ACCESS-CM2,ssp245,2017,281.74542236
ACCESS-CM2,ssp245,2018,279.85403442
ACCESS-CM2,ssp245,2019,282.31747437
ACCESS-CM2,ssp245,2020,280.43966675
ACCESS-CM2,ssp245,2021,281.49893188
ACCESS-CM2,ssp245,2022,281.52920532
ACCESS-CM2,ssp245,2023,282.55404663
ACCESS-CM2,ssp245,2024,281.05493164
ACCESS-CM2,ssp245,2025,282.30648804
ACCESS-CM2,ssp245,2026,281.76879883
ACCESS-CM2,ssp245,2027,283.32577515
ACCESS-CM2,ssp245,2028,281.25329590
ACCESS-CM2,ssp245,2029,281.91131592
ACCESS-CM2,ssp245,2030,282.21707153
ACCESS-CM2,ssp245,2031,282.82269287
ACCESS-CM2,ssp245,2032,282.76239014
ACCESS-CM2,ssp245,2033,281.77313232
ACCESS-CM2,ssp245,2034,282.95480347
ACCESS-CM2,ssp245,2035,281.44720459
ACCESS-CM2,ssp245,2036,283.11743164
ACCESS-CM2,ssp245,2037,282.28436279
ACCESS-CM2,ssp245,2038,282.59744263
ACCESS-CM2,ssp245,2039,283.31359863
ACCESS-CM2,ssp245,2040,282.71069336
ACCESS-CM2,ssp245,2041,283.25408936
ACCESS-CM2,ssp245,2042,282.80685425
ACCESS-CM2,ssp245,2043,283.17623901
ACCESS-CM2,ssp245,2044,282.56176758
ACCESS-CM2,ssp245,2045,282.39828491
ACCESS-CM2,ssp245,2046,282.46667480
ACCESS-CM2,ssp245,2047,284.04013062
ACCESS-CM2,ssp245,2048,282.20932007
ACCESS-CM2,ssp245,2049,282.49050903
ACCESS-CM2,ssp245,2050,282.60409546
ACCESS-CM2,ssp245,2051,283.03204346
ACCESS-CM2,ssp245,2052,282.41879272
ACCESS-CM2,ssp245,2053,283.68759155
ACCESS-CM2,ssp245,2054,283.07800293
ACCESS-CM2,ssp245,2055,283.85241699
ACCESS-CM2,ssp245,2056,283.08245850
ACCESS-CM2,ssp245,2057,282.33682251
ACCESS-CM2,ssp245,2058,283.02706909
ACCESS-CM2,ssp245,2059,283.06784058
ACCESS-CM2,ssp245,2060,283.87371826
ACCESS-CM2,ssp245,2061,282.35604858
ACCESS-CM2,ssp245,2062,283.98547363
ACCESS-CM2,ssp245,2063,283.54727173
ACCESS-CM2,ssp245,2064,284.35305786
ACCESS-CM2,ssp245,2065,282.53463745
ACCESS-CM2,ssp245,2066,284.04010010
ACCESS-CM2,ssp245,2067,284.23132324
ACCESS-CM2,ssp245,2068,283.80282593
ACCESS-CM2,ssp245,2069,282.67077637
ACCESS-CM2,ssp245,2070,283.59359741
ACCESS-CM2,ssp245,2071,282.68942261
ACCESS-CM2,ssp245,2072,283.50851440
ACCESS-CM2,ssp245,2073,282.31826782
ACCESS-CM2,ssp245,2074,283.51242065
ACCESS-CM2,ssp245,2075,283.91970825
ACCESS-CM2,ssp245,2076,283.82351685
ACCESS-CM2,ssp245,2077,283.13922119
ACCESS-CM2,ssp245,2078,284.02084351
ACCESS-CM2,ssp245,2079,284.32037354
ACCESS-CM2,ssp245,2080,284.86849976
ACCESS-CM2,ssp245,2081,283.54547119
ACCESS-CM2,ssp245,2082,282.99737549
ACCESS-CM2,ssp245,2083,283.47857666
ACCESS-CM2,ssp245,2084,282.96804810
ACCESS-CM2,ssp245,2085,282.80740356
ACCESS-CM2,ssp245,2086,282.65829468
ACCESS-CM2,ssp245,2087,283.29754639
ACCESS-CM2,ssp245,2088,282.56729126
ACCESS-CM2,ssp245,2089,283.09832764
ACCESS-CM2,ssp245,2090,284.51864624
ACCESS-CM2,ssp245,2091,283.78228760
ACCESS-CM2,ssp245,2092,284.03134155
ACCESS-CM2,ssp245,2093,283.17059326
ACCESS-CM2,ssp245,2094,283.64590454
ACCESS-CM2,ssp245,2095,284.30737305
ACCESS-CM2,ssp245,2096,283.42132568
ACCESS-CM2,ssp245,2097,282.75329590
ACCESS-CM2,ssp245,2098,284.35278320
ACCESS-CM2,ssp245,2099,285.62347412
ACCESS-CM2,ssp370,2015,281.50411987
ACCESS-CM2,ssp370,2016,281.91165161
ACCESS-CM2,ssp370,2017,282.20764160
