model,experiment,year,tas
ACCESS-CM2,historical,1960,282.90014648
ACCESS-CM2,historical,1961,282.38061523
ACCESS-CM2,historical,1962,283.35409546
ACCESS-CM2,historical,1963,281.95352173
ACCESS-CM2,historical,1964,282.61129761
ACCESS-CM2,historical,1965,281.96713257
ACCESS-CM2,historical,1966,282.43057251
ACCESS-CM2,historical,1967,282.66760254
ACCESS-CM2,historical,1968,282.28686523
ACCESS-CM2,historical,1969,282.32104492
ACCESS-CM2,historical,1970,282.90267944
ACCESS-CM2,historical,1971,283.29174805
ACCESS-CM2,historical,1972,282.00354004
ACCESS-CM2,historical,1973,282.48941040
ACCESS-CM2,historical,1974,282.40267944
ACCESS-CM2,historical,1975,282.50860596
ACCESS-CM2,historical,1976,283.32403564
ACCESS-CM2,historical,1977,282.57110596
ACCESS-CM2,historical,1978,282.62387085
ACCESS-CM2,historical,1979,283.63745117
ACCESS-CM2,historical,1980,282.21359253
ACCESS-CM2,historical,1981,283.41342163
ACCESS-CM2,historical,1982,282.29144287
ACCESS-CM2,historical,1983,283.61700439
ACCESS-CM2,historical,1984,282.22000122
ACCESS-CM2,historical,1985,282.49496460
ACCESS-CM2,historical,1986,282.91488647
ACCESS-CM2,historical,1987,283.11209106
ACCESS-CM2,historical,1988,283.20669556
ACCESS-CM2,historical,1989,283.20428467
ACCESS-CM2,historical,1990,282.74545288
ACCESS-CM2,historical,1991,282.86361694
ACCESS-CM2,historical,1992,281.92636108
ACCESS-CM2,historical,1993,284.02316284
ACCESS-CM2,historical,1994,282.33099365
ACCESS-CM2,historical,1995,282.90704346
ACCESS-CM2,historical,1996,282.40985107
ACCESS-CM2,historical,1997,282.84921265
ACCESS-CM2,historical,1998,282.36758423
ACCESS-CM2,historical,1999,282.81893921
ACCESS-CM2,historical,2000,282.95104980
ACCESS-CM2,historical,2001,282.77191162
ACCESS-CM2,historical,2002,283.35226440
ACCESS-CM2,historical,2003,283.62554932
ACCESS-CM2,historical,2004,283.18310547
ACCESS-CM2,historical,2005,282.66564941
ACCESS-CM2,historical,2006,283.19436646
ACCESS-CM2,historical,2007,283.17501831
ACCESS-CM2,historical,2008,282.56463623
ACCESS-CM2,historical,2009,283.65707397
ACCESS-CM2,historical,2010,283.51116943
ACCESS-CM2,historical,2011,282.62850952
ACCESS-CM2,historical,2012,282.46414185
ACCESS-CM2,historical,2013,284.22558594
ACCESS-CM2,historical,2014,284.24121094
ACCESS-CM2,ssp126,2015,283.94174194
ACCESS-CM2,ssp126,2016,283.51745605
ACCESS-CM2,ssp126,2017,283.40127563
ACCESS-CM2,ssp126,2018,283.64328003
ACCESS-CM2,ssp126,2019,283.93243408
ACCESS-CM2,ssp126,2020,282.88330078
ACCESS-CM2,ssp126,2021,283.61825562
ACCESS-CM2,ssp126,2022,283.84603882
ACCESS-CM2,ssp126,2023,284.10614014
ACCESS-CM2,ssp126,2024,283.45211792
ACCESS-CM2,ssp126,2025,284.28207397
ACCESS-CM2,ssp126,2026,283.96688843
ACCESS-CM2,ssp126,2027,284.78494263
ACCESS-CM2,ssp126,2028,283.64617920
ACCESS-CM2,ssp126,2029,283.78353882
ACCESS-CM2,ssp126,2030,283.50268555
ACCESS-CM2,ssp126,2031,283.53005981
ACCESS-CM2,ssp126,2032,282.95343018
ACCESS-CM2,ssp126,2033,283.91577148
ACCESS-CM2,ssp126,2034,283.91821289
ACCESS-CM2,ssp126,2035,283.03100586
ACCESS-CM2,ssp126,2036,284.08422852
ACCESS-CM2,ssp126,2037,282.45242310
ACCESS-CM2,ssp126,2038,284.18057251
ACCESS-CM2,ssp126,2039,283.70330811
ACCESS-CM2,ssp126,2040,283.48587036
ACCESS-CM2,ssp126,2041,283.07525635
ACCESS-CM2,ssp126,2042,283.37789917
ACCESS-CM2,ssp126,2043,283.83093262
ACCESS-CM2,ssp126,2044,284.11712646
ACCESS-CM2,ssp126,2045,283.24212646
ACCESS-CM2,ssp126,2046,283.70715332
ACCESS-CM2,ssp126,2047,284.53472900
ACCESS-CM2,ssp126,2048,284.04174805
ACCESS-CM2,ssp126,2049,283.86871338
ACCESS-CM2,ssp126,2050,283.00125122
ACCESS-CM2,ssp126,2051,285.03802490
ACCESS-CM2,ssp126,2052,284.41448975
ACCESS-CM2,ssp126,2053,284.43014526
ACCESS-CM2,ssp126,2054,284.36303711
ACCESS-CM2,ssp126,2055,284.55029297
ACCESS-CM2,ssp126,2056,284.69543457
ACCESS-CM2,ssp126,2057,284.03817749
ACCESS-CM2,ssp126,2058,285.00265503
ACCESS-CM2,ssp126,2059,284.48620605
ACCESS-CM2,ssp126,2060,284.65887451
ACCESS-CM2,ssp126,2061,284.40441895
ACCESS-CM2,ssp126,2062,284.40533447
ACCESS-CM2,ssp126,2063,283.57208252
ACCESS-CM2,ssp126,2064,285.02325439
ACCESS-CM2,ssp126,2065,285.29556274
ACCESS-CM2,ssp126,2066,283.95773315
ACCESS-CM2,ssp126,2067,284.03176880
ACCESS-CM2,ssp126,2068,283.66040039
ACCESS-CM2,ssp126,2069,285.59146118
ACCESS-CM2,ssp126,2070,284.28512573
ACCESS-CM2,ssp126,2071,284.54934692
ACCESS-CM2,ssp126,2072,284.34219360
ACCESS-CM2,ssp126,2073,284.89895630
ACCESS-CM2,ssp126,2074,284.09362793
ACCESS-CM2,ssp126,2075,284.66955566
ACCESS-CM2,ssp126,2076,284.09613037
ACCESS-CM2,ssp126,2077,284.84432983
ACCESS-CM2,ssp126,2078,284.61596680
ACCESS-CM2,ssp126,2079,284.60421753
ACCESS-CM2,ssp126,2080,284.80517578
ACCESS-CM2,ssp126,2081,285.42739868
ACCESS-CM2,ssp126,2082,284.23117065
ACCESS-CM2,ssp126,2083,285.19140625
ACCESS-CM2,ssp126,2084,283.34225464
ACCESS-CM2,ssp126,2085,284.33166504
ACCESS-CM2,ssp126,2086,284.38162231
ACCESS-CM2,ssp126,2087,284.75717163
ACCESS-CM2,ssp126,2088,284.57034302
ACCESS-CM2,ssp126,2089,284.88812256
ACCESS-CM2,ssp126,2090,283.53302002
ACCESS-CM2,ssp126,2091,284.82470703
ACCESS-CM2,ssp126,2092,284.07907104
ACCESS-CM2,ssp126,2093,284.06887817
ACCESS-CM2,ssp126,2094,284.50732422
ACCESS-CM2,ssp126,2095,283.26153564
ACCESS-CM2,ssp126,2096,285.36154175
ACCESS-CM2,ssp126,2097,284.48468018
ACCESS-CM2,ssp126,2098,284.57882690
ACCESS-CM2,ssp126,2099,283.72369385
ACCESS-CM2,ssp245,2015,283.77560425
ACCESS-CM2,ssp245,2016,283.06076050
ACCESS-CM2,ssp245,2017,282.82687378
ACCESS-CM2,ssp245,2018,282.43984985
ACCESS-CM2,ssp245,2019,283.59317017
ACCESS-CM2,ssp245,2020,282.82495117
ACCESS-CM2,ssp245,2021,283.61013794
ACCESS-CM2,ssp245,2022,283.63662720
ACCESS-CM2,ssp245,2023,283.80651855
ACCESS-CM2,ssp245,2024,283.39196777
ACCESS-CM2,ssp245,2025,284.40545654
ACCESS-CM2,ssp245,2026,283.51519775
ACCESS-CM2,ssp245,2027,283.91561890
ACCESS-CM2,ssp245,2028,283.59164429
ACCESS-CM2,ssp245,2029,283.43911743
ACCESS-CM2,ssp245,2030,283.68673706
ACCESS-CM2,ssp245,2031,283.79379272
ACCESS-CM2,ssp245,2032,284.56976318
ACCESS-CM2,ssp245,2033,283.92175293
ACCESS-CM2,ssp245,2034,284.67846680
ACCESS-CM2,ssp245,2035,283.59963989
ACCESS-CM2,ssp245,2036,284.75036621
ACCESS-CM2,ssp245,2037,283.80313110
ACCESS-CM2,ssp245,2038,284.17083740
ACCESS-CM2,ssp245,2039,284.85131836
ACCESS-CM2,ssp245,2040,283.83035278
ACCESS-CM2,ssp245,2041,284.91171265
ACCESS-CM2,ssp245,2042,284.19168091
ACCESS-CM2,ssp245,2043,284.61212158
