model,experiment,year,tas
ACCESS-CM2,historical,1960,280.78802490
ACCESS-CM2,historical,1961,280.52386475
ACCESS-CM2,historical,1962,281.23791504
ACCESS-CM2,historical,1963,279.80148315
ACCESS-CM2,historical,1964,280.37225342
ACCESS-CM2,historical,1965,279.64337158
ACCESS-CM2,historical,1966,280.46292114
ACCESS-CM2,historical,1967,280.73678589
ACCESS-CM2,historical,1968,280.32135010
ACCESS-CM2,historical,1969,280.07391357
ACCESS-CM2,historical,1970,280.84570312
ACCESS-CM2,historical,1971,281.66729736
ACCESS-CM2,historical,1972,279.98184204
ACCESS-CM2,historical,1973,280.57455444
ACCESS-CM2,historical,1974,280.55429077
ACCESS-CM2,historical,1975,280.42718506
ACCESS-CM2,historical,1976,280.89889526
ACCESS-CM2,historical,1977,280.81427002
ACCESS-CM2,historical,1978,280.71627808
ACCESS-CM2,historical,1979,281.65368652
ACCESS-CM2,historical,1980,280.02255249
ACCESS-CM2,historical,1981,281.39443970
ACCESS-CM2,historical,1982,280.15710449
ACCESS-CM2,historical,1983,281.59927368
ACCESS-CM2,historical,1984,280.28286743
ACCESS-CM2,historical,1985,280.42343140
ACCESS-CM2,historical,1986,281.11892700
ACCESS-CM2,historical,1987,281.00762939
ACCESS-CM2,historical,1988,281.26486206
ACCESS-CM2,historical,1989,281.35549927
ACCESS-CM2,historical,1990,280.57821655
ACCESS-CM2,historical,1991,280.62637329
ACCESS-CM2,historical,1992,279.94750977
ACCESS-CM2,historical,1993,282.25921631
ACCESS-CM2,historical,1994,280.07855225
ACCESS-CM2,historical,1995,280.81427002
ACCESS-CM2,historical,1996,280.42849731
ACCESS-CM2,historical,1997,280.92385864
ACCESS-CM2,historical,1998,280.29760742
ACCESS-CM2,historical,1999,280.75613403
ACCESS-CM2,historical,2000,280.80587769
ACCESS-CM2,historical,2001,280.52713013
ACCESS-CM2,historical,2002,281.30126953
ACCESS-CM2,historical,2003,282.17593384
ACCESS-CM2,historical,2004,281.14920044
ACCESS-CM2,historical,2005,280.65267944
ACCESS-CM2,historical,2006,281.39648438
ACCESS-CM2,historical,2007,281.11785889
ACCESS-CM2,historical,2008,280.68188477
ACCESS-CM2,historical,2009,281.48489380
ACCESS-CM2,historical,2010,281.63760376
ACCESS-CM2,historical,2011,280.59231567
ACCESS-CM2,historical,2012,280.05053711
ACCESS-CM2,historical,2013,282.41195679
ACCESS-CM2,historical,2014,282.20513916
ACCESS-CM2,ssp126,2015,281.88272095
ACCESS-CM2,ssp126,2016,281.39669800
ACCESS-CM2,ssp126,2017,281.25625610
