model,experiment,year,tas
ACCESS-CM2,historical,1960,281.95120239
ACCESS-CM2,historical,1961,281.38543701
ACCESS-CM2,historical,1962,282.32070923
ACCESS-CM2,historical,1963,281.11959839
ACCESS-CM2,historical,1964,281.35769653
ACCESS-CM2,historical,1965,280.85076904
ACCESS-CM2,historical,1966,281.34979248
ACCESS-CM2,historical,1967,281.71856689
ACCESS-CM2,historical,1968,281.34771729
ACCESS-CM2,historical,1969,281.33493042
ACCESS-CM2,historical,1970,281.82775879
ACCESS-CM2,historical,1971,282.13684082
ACCESS-CM2,historical,1972,281.00759888
ACCESS-CM2,historical,1973,281.22851562
ACCESS-CM2,historical,1974,281.18896484
ACCESS-CM2,historical,1975,281.44940186
ACCESS-CM2,historical,1976,282.10995483
ACCESS-CM2,historical,1977,281.41766357
ACCESS-CM2,historical,1978,281.40695190
ACCESS-CM2,historical,1979,282.57757568
ACCESS-CM2,historical,1980,280.96813965
ACCESS-CM2,historical,1981,282.33856201
ACCESS-CM2,historical,1982,281.22195435
ACCESS-CM2,historical,1983,282.61462402
ACCESS-CM2,historical,1984,281.33459473
ACCESS-CM2,historical,1985,281.48861694
ACCESS-CM2,historical,1986,281.89108276
ACCESS-CM2,historical,1987,281.99728394
ACCESS-CM2,historical,1988,282.12789917
ACCESS-CM2,historical,1989,282.12020874
ACCESS-CM2,historical,1990,281.67602539
ACCESS-CM2,historical,1991,281.79211426
ACCESS-CM2,historical,1992,280.92581177
ACCESS-CM2,historical,1993,282.87762451
ACCESS-CM2,historical,1994,281.24636841
ACCESS-CM2,historical,1995,281.92736816
ACCESS-CM2,historical,1996,281.48345947
ACCESS-CM2,historical,1997,281.84194946
ACCESS-CM2,historical,1998,281.40481567
ACCESS-CM2,historical,1999,281.61056519
ACCESS-CM2,historical,2000,281.95251465
ACCESS-CM2,historical,2001,281.77856445
ACCESS-CM2,historical,2002,282.19375610
ACCESS-CM2,historical,2003,282.51443481
ACCESS-CM2,historical,2004,281.99124146
ACCESS-CM2,historical,2005,281.67227173
ACCESS-CM2,historical,2006,282.17770386
