model,experiment,year,tas
ACCESS-CM2,historical,1960,284.36996460
ACCESS-CM2,historical,1961,283.81875610
ACCESS-CM2,historical,1962,285.19802856
ACCESS-CM2,historical,1963,283.51937866
ACCESS-CM2,historical,1964,284.09405518
ACCESS-CM2,historical,1965,283.83453369
ACCESS-CM2,historical,1966,284.04226685
ACCESS-CM2,historical,1967,284.09573364
ACCESS-CM2,historical,1968,283.89532471
ACCESS-CM2,historical,1969,283.86492920
ACCESS-CM2,historical,1970,284.57400513
ACCESS-CM2,historical,1971,284.58178711
ACCESS-CM2,historical,1972,283.51992798
ACCESS-CM2,historical,1973,284.01794434
ACCESS-CM2,historical,1974,284.05999756
ACCESS-CM2,historical,1975,283.91470337
ACCESS-CM2,historical,1976,285.08666992
ACCESS-CM2,historical,1977,283.99505615
ACCESS-CM2,historical,1978,284.20849609
ACCESS-CM2,historical,1979,285.39724731
ACCESS-CM2,historical,1980,283.89770508
ACCESS-CM2,historical,1981,285.21466064
ACCESS-CM2,historical,1982,283.86853027
ACCESS-CM2,historical,1983,285.02124023
ACCESS-CM2,historical,1984,283.74084473
ACCESS-CM2,historical,1985,283.96191406
ACCESS-CM2,historical,1986,284.48992920
ACCESS-CM2,historical,1987,284.80450439
ACCESS-CM2,historical,1988,284.81616211
ACCESS-CM2,historical,1989,284.69439697
ACCESS-CM2,historical,1990,284.63528442
ACCESS-CM2,historical,1991,284.56723022
ACCESS-CM2,historical,1992,283.55761719
ACCESS-CM2,historical,1993,285.73211670
ACCESS-CM2,historical,1994,283.98321533
ACCESS-CM2,historical,1995,284.48345947
ACCESS-CM2,historical,1996,283.88638306
ACCESS-CM2,historical,1997,284.44030762
ACCESS-CM2,historical,1998,283.92813110
ACCESS-CM2,historical,1999,284.35375977
ACCESS-CM2,historical,2000,284.64474487
ACCESS-CM2,historical,2001,284.53277588
ACCESS-CM2,historical,2002,284.93066406
ACCESS-CM2,historical,2003,284.75982666
ACCESS-CM2,historical,2004,284.72857666
ACCESS-CM2,historical,2005,284.10852051
ACCESS-CM2,historical,2006,284.56472778
ACCESS-CM2,historical,2007,284.57913208
ACCESS-CM2,historical,2008,284.07556152
ACCESS-CM2,historical,2009,285.19534302
ACCESS-CM2,historical,2010,284.93624878
ACCESS-CM2,historical,2011,284.11303711
ACCESS-CM2,historical,2012,284.30624390
ACCESS-CM2,historical,2013,285.58923340
ACCESS-CM2,historical,2014,285.74850464
ACCESS-CM2,ssp126,2015,285.61022949
ACCESS-CM2,ssp126,2016,285.05761719
ACCESS-CM2,ssp126,2017,284.98638916
ACCESS-CM2,ssp126,2018,285.18557739
ACCESS-CM2,ssp126,2019,285.34530640
ACCESS-CM2,ssp126,2020,284.61312866
ACCESS-CM2,ssp126,2021,285.16918945
ACCESS-CM2,ssp126,2022,285.58557129
ACCESS-CM2,ssp126,2023,285.69360352
ACCESS-CM2,ssp126,2024,285.19952393
ACCESS-CM2,ssp126,2025,285.94924927
ACCESS-CM2,ssp126,2026,285.65579224
ACCESS-CM2,ssp126,2027,286.31072998
ACCESS-CM2,ssp126,2028,285.09420776
ACCESS-CM2,ssp126,2029,285.44790649
ACCESS-CM2,ssp126,2030,285.15594482
ACCESS-CM2,ssp126,2031,284.85101318
ACCESS-CM2,ssp126,2032,284.37857056
ACCESS-CM2,ssp126,2033,285.32028198
ACCESS-CM2,ssp126,2034,285.61068726
ACCESS-CM2,ssp126,2035,284.58224487
ACCESS-CM2,ssp126,2036,285.39950562
ACCESS-CM2,ssp126,2037,284.07095337
ACCESS-CM2,ssp126,2038,285.54421997
ACCESS-CM2,ssp126,2039,285.41040039
ACCESS-CM2,ssp126,2040,285.18942261
ACCESS-CM2,ssp126,2041,284.64895630
ACCESS-CM2,ssp126,2042,284.73272705
ACCESS-CM2,ssp126,2043,285.38488770
ACCESS-CM2,ssp126,2044,285.52151489
ACCESS-CM2,ssp126,2045,284.56369019
ACCESS-CM2,ssp126,2046,285.06890869
ACCESS-CM2,ssp126,2047,286.13351440
ACCESS-CM2,ssp126,2048,285.55447388
ACCESS-CM2,ssp126,2049,285.58694458
ACCESS-CM2,ssp126,2050,284.72058105
ACCESS-CM2,ssp126,2051,286.64154053
ACCESS-CM2,ssp126,2052,286.14450073
ACCESS-CM2,ssp126,2053,285.97009277
ACCESS-CM2,ssp126,2054,286.00451660
ACCESS-CM2,ssp126,2055,286.03555298
