model,experiment,year,tas
ACCESS-CM2,historical,1960,283.46081543
ACCESS-CM2,historical,1961,281.32717896
ACCESS-CM2,historical,1962,283.60076904
ACCESS-CM2,historical,1963,283.09225464
ACCESS-CM2,historical,1964,282.12127686
ACCESS-CM2,historical,1965,280.61929321
ACCESS-CM2,historical,1966,282.39825439
ACCESS-CM2,historical,1967,282.20327759
ACCESS-CM2,historical,1968,281.72488403
ACCESS-CM2,historical,1969,282.86749268
ACCESS-CM2,historical,1970,283.61181641
ACCESS-CM2,historical,1971,283.29064941
ACCESS-CM2,historical,1972,281.43313599
ACCESS-CM2,historical,1973,283.17745972
ACCESS-CM2,historical,1974,283.17160034
ACCESS-CM2,historical,1975,281.30218506
ACCESS-CM2,historical,1976,283.37457275
ACCESS-CM2,historical,1977,282.34893799
ACCESS-CM2,historical,1978,283.21728516
ACCESS-CM2,historical,1979,283.53912354
ACCESS-CM2,historical,1980,282.23785400
ACCESS-CM2,historical,1981,283.88296509
ACCESS-CM2,historical,1982,281.92428589
ACCESS-CM2,historical,1983,283.72351074
ACCESS-CM2,historical,1984,282.28097534
ACCESS-CM2,historical,1985,282.55401611
ACCESS-CM2,historical,1986,282.96545410
ACCESS-CM2,historical,1987,282.89059448
ACCESS-CM2,historical,1988,283.22009277
ACCESS-CM2,historical,1989,284.57717896
ACCESS-CM2,historical,1990,282.84637451
ACCESS-CM2,historical,1991,283.97113037
ACCESS-CM2,historical,1992,282.14648438
ACCESS-CM2,historical,1993,284.77639771
ACCESS-CM2,historical,1994,281.04388428
ACCESS-CM2,historical,1995,283.73327637
ACCESS-CM2,historical,1996,283.41766357
ACCESS-CM2,historical,1997,282.63369751
ACCESS-CM2,historical,1998,283.02484131
ACCESS-CM2,historical,1999,283.14697266
ACCESS-CM2,historical,2000,282.40097046
ACCESS-CM2,historical,2001,282.94061279
ACCESS-CM2,historical,2002,282.99288940
ACCESS-CM2,historical,2003,282.11996460
ACCESS-CM2,historical,2004,282.72683716
ACCESS-CM2,historical,2005,282.44900513
ACCESS-CM2,historical,2006,282.45397949
ACCESS-CM2,historical,2007,282.41702271
ACCESS-CM2,historical,2008,283.41427612
ACCESS-CM2,historical,2009,283.72103882
ACCESS-CM2,historical,2010,283.33425903
ACCESS-CM2,historical,2011,282.53512573
ACCESS-CM2,historical,2012,282.88092041
ACCESS-CM2,historical,2013,283.49789429
ACCESS-CM2,historical,2014,284.12030029
ACCESS-CM2,ssp126,2015,283.75982666
ACCESS-CM2,ssp126,2016,283.38098145
ACCESS-CM2,ssp126,2017,283.43582153
ACCESS-CM2,ssp126,2018,282.65994263
ACCESS-CM2,ssp126,2019,282.92773438
ACCESS-CM2,ssp126,2020,283.16638184
ACCESS-CM2,ssp126,2021,284.81530762
ACCESS-CM2,ssp126,2022,285.18518066
ACCESS-CM2,ssp126,2023,284.71075439
ACCESS-CM2,ssp126,2024,283.98995972
ACCESS-CM2,ssp126,2025,283.65121460
ACCESS-CM2,ssp126,2026,284.15692139
ACCESS-CM2,ssp126,2027,283.06057739
ACCESS-CM2,ssp126,2028,283.85113525
ACCESS-CM2,ssp126,2029,283.20571899
ACCESS-CM2,ssp126,2030,283.86395264
ACCESS-CM2,ssp126,2031,283.06594849
ACCESS-CM2,ssp126,2032,282.76809692
ACCESS-CM2,ssp126,2033,283.79165649
ACCESS-CM2,ssp126,2034,284.01168823
ACCESS-CM2,ssp126,2035,282.73355103
ACCESS-CM2,ssp126,2036,284.08221436
ACCESS-CM2,ssp126,2037,283.23733521
ACCESS-CM2,ssp126,2038,284.25674438
ACCESS-CM2,ssp126,2039,283.73687744
ACCESS-CM2,ssp126,2040,283.69271851
ACCESS-CM2,ssp126,2041,282.99505615
ACCESS-CM2,ssp126,2042,282.78854370
ACCESS-CM2,ssp126,2043,283.23751831
ACCESS-CM2,ssp126,2044,283.40084839
ACCESS-CM2,ssp126,2045,283.02474976
ACCESS-CM2,ssp126,2046,283.79882812
ACCESS-CM2,ssp126,2047,283.36032104
ACCESS-CM2,ssp126,2048,283.12252808
ACCESS-CM2,ssp126,2049,283.36862183
