,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,,,,,,,,,,,,
1910,19.68,20.78,18.88,14.68,13.58,11.98,10.58,10.88,11.88,13.88,15.98,16.88
1911,18.38,18.18,18.48,17.98,13.68,11.18,10.08,10.68,11.68,12.78,14.08,14.78
1912,16.98,17.48,15.98,15.18,11.98,10.68,9.58,9.48,12.18,12.68,13.78,16.48
1913,17.98,17.98,17.78,13.88,10.68,9.78,10.28,11.08,11.98,13.58,14.98,15.08
1914,18.98,18.48,17.58,15.28,11.58,10.08,9.48,9.78,11.18,12.48,14.08,15.18
1915,18.38,17.78,15.88,14.28,12.78,11.48,10.88,11.18,13.48,14.48,14.88,16.78
1916,17.98,20.08,19.28,15.88,14.18,13.08,11.38,11.18,12.28,13.78,15.88,18.18
1917,19.08,17.98,17.18,16.28,14.08,12.18,11.58,10.58,12.28,14.18,16.08,16.88
1918,18.78,19.38,18.08,16.48,13.18,11.68,9.08,10.28,11.08,13.28,14.28,15.08
1919,16.48,19.18,16.78,14.08,12.18,10.78,10.18,9.78,10.48,12.48,13.08,15.68
1920,17.08,18.78,17.18,15.08,11.98,11.48,9.78,10.28,11.58,13.48,14.48,16.58
1921,17.98,17.98,17.28,14.48,12.78,12.08,10.28,10.78,12.28,13.98,14.68,16.68
1922,19.28,18.88,17.28,15.68,13.58,10.48,10.08,10.98,11.78,14.28,15.28,17.18
1923,18.08,17.28,16.18,13.78,13.78,11.38,9.48,9.48,11.98,13.48,15.98,18.48
1924,19.18,19.78,18.98,18.08,13.68,11.18,9.98,10.68,12.48,13.78,15.58,16.18
1925,18.68,18.18,16.98,14.98,13.48,10.98,10.28,9.98,11.28,13.28,13.98,16.58
1926,18.48,16.58,16.78,16.08,13.58,10.68,10.58,10.78,11.58,13.98,13.98,16.58
1927,18.68,19.18,17.18,14.78,12.68,9.98,10.68,10.08,11.78,12.88,14.78,16.28
1928,18.08,20.48,18.38,17.48,14.98,11.58,10.78,10.88,12.48,13.68,16.48,17.18
1929,18.88,18.48,18.68,15.98,13.38,12.08,9.98,10.58,11.18,13.78,15.98,17.38
1930,18.58,18.18,17.18,14.68,12.18,10.68,9.58,11.48,11.28,12.28,13.88,17.98
1931,18.58,16.58,16.38,15.48,12.18,10.88,11.08,9.98,11.08,12.98,16.58,16.98
1932,17.78,18.68,17.88,15.98,12.58,10.38,8.98,9.58,11.98,14.58,15.28,17.38
1933,19.38,19.88,18.48,15.98,13.48,9.68,10.38,10.48,12.08,13.38,15.18,17.48
1934,17.38,18.18,16.98,16.08,12.58,10.98,9.58,10.78,12.38,13.78,16.88,19.78
1935,20.88,20.68,18.68,16.88,12.38,11.78,10.08,10.58,10.88,13.78,13.88,18.18
1936,18.98,18.58,16.78,16.18,11.58,10.48,9.68,11.18,11.38,14.58,15.18,16.48
1937,17.48,17.28,17.58,15.58,13.18,10.18,9.28,10.58,11.78,13.18,15.58,18.88
1938,20.58,21.08,20.08,19.58,14.28,11.08,10.08,10.78,12.18,13.88,16.68,16.58
1939,16.78,17.38,18.38,15.78,13.38,12.38,9.08,10.58,11.98,12.78,15.08,17.08
1940,18.88,17.78,16.58,13.68,11.88,10.68,9.48,11.08,12.28,13.48,14.38,18.38
1941,19.28,19.18,18.38,14.68,13.48,10.28,9.98,10.08,12.08,12.68,14.68,17.08
1942,17.58,18.18,18.28,15.98,13.18,10.68,10.78,11.68,12.58,14.78,15.58,16.98
1943,18.88,18.98,17.48,15.78,12.18,11.08,9.68,9.58,11.58,12.78,15.78,18.28
