,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,,,,,,,,,,,,
1910,,,,,,,,,,,,
1911,,,,,,,,,,,,
1912,,14.65,13.35,12.65,7.95,7.25,7.05,6.65,10.65,11.65,11.95,15.85
1913,18.65,16.35,15.65,10.35,6.35,6.35,7.05,7.35,10.65,11.65,12.65,13.65
1914,18.25,16.25,14.15,12.35,8.05,6.25,5.65,6.75,9.05,11.35,12.65,13.35
1915,18.25,16.45,13.35,10.85,9.45,7.25,7.65,8.15,11.65,13.25,13.25,16.85
1916,17.45,19.15,18.65,13.55,11.25,8.95,7.75,8.05,10.65,11.75,14.85,16.85
1917,18.25,16.85,15.55,14.85,11.85,8.35,8.85,8.35,11.85,12.75,14.55,15.45
1918,17.65,18.25,14.85,13.35,9.75,8.05,5.25,8.15,9.15,11.85,12.65,14.05
1919,16.65,17.85,14.55,11.35,8.85,7.35,7.35,8.15,8.75,11.95,12.45,14.65
1920,15.65,17.75,15.35,12.75,8.46,8.86,7.26,6.96,8.76,11.66,12.76,15.96
1921,16.76,15.96,15.26,10.86,9.66,8.56,7.66,8.16,10.36,12.46,12.46,15.46
1922,15.76,16.86,14.66,12.46,9.86,6.46,6.46,7.86,8.96,13.36,14.16,16.26
1923,16.46,15.56,14.06,10.36,10.76,7.46,6.46,6.56,10.26,11.46,15.06,17.76
1924,18.76,17.96,16.26,15.36,9.56,8.36,6.76,7.96,11.06,12.66,14.06,15.06
1925,16.96,15.76,14.06,12.06,9.86,7.56,7.46,7.46,8.96,12.06,12.86,16.76
1926,17.76,15.46,14.06,14.06,10.46,6.96,7.36,7.26,9.96,11.96,12.56,14.16
1927,17.76,17.76,15.76,11.96,9.76,6.96,7.06,7.76,10.26,11.86,12.16,14.46
1928,15.96,18.36,16.06,15.06,11.36,7.26,7.36,7.86,9.86,12.46,13.26,15.46
1929,17.16,17.06,16.36,12.96,9.16,8.46,5.96,7.06,8.36,11.76,13.96,14.96
1930,15.76,15.66,14.56,12.56,8.46,6.96,5.36,7.86,8.36,9.86,11.66,14.76
1931,16.66,14.36,14.26,12.06,8.66,6.76,6.76,6.26,7.96,12.26,14.86,16.36
1932,16.06,15.76,14.56,13.16,8.96,6.96,4.96,6.06,8.86,12.56,13.56,14.96
1933,18.36,17.76,16.06,13.36,9.26,6.76,6.66,7.66,9.36,11.46,12.26,16.46
1934,15.96,16.06,14.46,12.26,8.36,7.26,6.06,7.66,9.86,11.86,14.86,18.96
1935,19.86,18.86,15.86,13.76,9.46,7.46,6.26,7.56,7.86,12.56,11.76,17.46
1936,16.76,16.46,12.96,13.56,7.96,6.46,6.06,9.26,9.56,12.96,14.26,14.76
1937,15.76,14.46,15.16,12.06,10.26,5.96,6.26,7.76,9.06,10.46,14.56,17.46
1938,18.76,19.86,17.76,15.56,10.56,7.36,5.86,7.86,9.96,12.46,14.56,13.86
1939,15.06,17.16,15.76,12.46,9.96,8.96,5.96,7.86,9.26,10.66,13.56,16.56
1940,18.46,16.66,13.76,10.36,8.06,6.36,6.06,7.96,9.66,10.56,12.26,16.56
1941,18.36,16.86,15.86,11.06,9.56,5.96,6.56,6.56,9.36,10.36,13.86,15.66
1942,15.46,15.36,14.56,12.86,10.46,6.46,7.46,7.76,9.76,13.12,14.12,14.92
1943,17.12,17.32,14.72,13.02,8.72,8.42,6.12,6.52,9.12,10.72,13.42,17.02
1944,16.32,17.32,14.12,13.32,8.82,6.92,7.12,7.72,9.12,11.82,13.12,14.02
1945,17.42,16.72,14.62,12.12,8.32,6.62,6.02,9.32,9.42,10.52,13.72,13.52
1946,16.22,17.32,15.22,11.92,10.52,8.42,7.82,7.92,10.82,10.72,10.22,13.72
1947,15.32,15.82,14.42,12.22,9.52,8.02,7.32,8.22,10.02,12.22,12.62,16.82
1948,18.32,16.92,16.42,12.62,10.32,7.12,7.72,7.82,10.52,11.32,12.62,16.42
1949,15.42,18.52,14.52,10.82,9.92,8.22,8.52,8.22,9.12,12.72,13.02,15.32
1950,16.72,15.92,14.22,11.72,11.62,7.22,6.72,7.22,10.02,11.82,13.92,16.02
1951,15.82,16.22,15.92,13.22,9.12,6.42,7.42,7.12,9.82,11.72,13.72,14.02
1952,15.62,18.12,15.02,13.22,9.82,8.02,5.72,8.62,10.42,12.42,13.62,15.62
1953,15.12,15.52,14.62,12.02,9.92,7.82,7.22,8.12,10.42,11.02,14.52,15.82
1954,17.02,18.62,17.22,12.42,10.72,8.42,7.02,7.92,9.62,10.72,15.42,15.92
1955,17.32,19.22,16.02,14.12,11.32,6.92,6.52,9.12,10.42,12.42,13.82,16.02
1956,19.72,17.42,13.92,15.82,11.12,8.22,7.22,7.82,10.22,12.42,13.82,15.72
1957,17.22,18.52,17.22,13.42,10.72,8.02,6.42,8.92,10.02,10.82,13.82,14.92
1958,16.92,19.12,16.72,11.42,10.82,7.12,6.22,8.22,8.72,13.52,14.42,17.22
1959,17.82,16.72,15.62,12.42,8.12,6.72,6.82,8.12,10.32,10.52,13.42,16.12
1960,17.82,17.22,14.52,12.02,10.42,8.02,7.32,7.22,10.02,11.92,13.02,13.82
1961,16.12,16.62,14.42,12.22,9.32,7.32,7.02,7.42,9.32,13.72,14.12,17.32
1962,18.72,17.12,15.92,12.62,12.32,8.72,8.02,8.22,10.02,13.52,14.22,15.52
1963,17.12,18.62,15.02,11.82,9.72,7.52,6.92,6.82,9.92,12.12,12.42,14.42
1964,16.02,17.42,16.02,12.62,9.62,7.22,8.02,8.12,9.62,11.42,13.42,16.52
1965,18.52,16.62,15.22,12.02,9.92,7.22,5.72,7.92,9.72,10.72,13.32,15.52
1966,17.02,19.42,16.22,13.02,8.82,7.62,6.72,6.82,9.72,10.92,12.22,15.02
1967,16.12,16.52,15.72,12.92,10.02,7.02,6.22,9.72,8.62,12.12,13.72,15.92
