,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,14.45,16.18,15.2,11.67,10.5,8.4,6.95,8.43,9.6,11.5,13.53,16.53
1910,17.2,17.8,15.94,12.16,11.26,8.78,6.94,8.6,10.22,12.64,14.7,15.56
1911,16.2,15.86,16.66,15.02,10.68,8.52,7.16,8.7,9.86,11.32,12.46,13.2
1912,15.2,14.56,13.36,12.57,9.04,7.57,7.18,7.55,10.44,11.72,12.55,15.3
1913,16.43,15.6,15.25,11.15,7.71,6.95,7.83,8.13,10.94,12.04,12.81,14.0
1914,17.34,16.44,15.15,12.71,8.6,7.18,6.95,7.58,9.65,11.6,12.53,13.2
1915,16.34,15.27,13.5,11.41,9.84,7.63,8.11,8.38,11.33,12.94,12.93,15.59
1916,16.4,17.64,17.44,13.73,11.04,9.89,8.07,8.21,10.34,11.81,14.43,16.86
1917,17.7,16.21,15.64,14.06,11.5,8.77,8.76,8.23,11.13,12.3,14.4,14.9
1918,16.83,17.67,15.49,13.24,10.07,8.11,5.81,7.93,9.23,11.56,12.3,13.43
1919,14.79,16.74,14.53,11.69,9.21,7.81,7.46,8.29,8.91,11.49,11.9,13.81
1920,14.69,16.63,14.91,12.73,8.57,8.14,7.62,7.19,9.07,11.67,12.14,15.13
1921,15.96,15.76,14.6,11.48,10.03,8.74,7.7,8.2,10.51,11.9,12.94,14.5
1922,16.3,16.9,13.93,12.77,10.31,7.11,7.01,8.41,9.77,13.1,13.18,15.33
1923,16.54,14.94,13.84,10.97,10.44,7.56,6.67,7.21,10.48,11.88,14.89,16.73
1924,17.29,17.63,16.07,15.49,10.27,8.33,7.22,8.57,11.33,12.83,14.06,14.57
1925,16.6,15.63,14.1,12.32,9.6,7.27,7.7,7.66,9.12,11.77,12.3,14.97
1926,16.76,14.73,13.98,13.95,10.23,7.73,7.68,8.03,9.82,11.76,12.35,14.33
1927,16.96,17.02,14.86,11.63,9.49,6.62,7.5,7.58,10.08,11.52,12.03,14.18
1928,16.4,17.97,16.52,14.89,11.35,8.12,8.33,8.55,9.93,12.05,13.36,14.93
1929,16.49,16.35,15.53,12.88,9.52,9.09,7.05,7.82,9.01,11.82,13.46,14.39
1930,15.16,15.89,14.61,12.82,9.68,7.35,6.21,8.26,8.63,10.19,11.71,14.53
1931,15.48,14.51,14.19,12.33,9.66,7.13,7.08,7.28,8.36,11.91,14.19,15.25
1932,15.24,15.78,14.86,13.07,9.61,7.54,6.07,6.7,9.44,12.43,13.64,14.8
1933,17.18,16.94,15.74,12.67,9.61,6.8,7.27,8.03,10.14,11.74,12.87,15.76
1934,15.24,16.34,14.53,13.3,9.43,7.86,6.68,8.51,10.28,11.81,14.9,18.36
1935,18.7,18.46,16.26,14.08,9.6,7.81,7.07,8.28,8.28,12.18,11.8,17.11
1936,16.73,16.07,13.36,13.68,8.96,7.77,6.84,9.1,9.61,12.73,13.47,14.3
1937,15.31,14.28,14.9,12.17,10.18,6.68,6.73,8.5,9.68,11.06,14.03,16.46
1938,17.77,18.94,17.18,15.66,11.4,8.07,6.41,8.27,10.14,12.26,14.14,14.0
1939,14.54,15.77,15.68,13.17,10.54,9.28,5.77,7.67,9.73,11.14,13.74,16.1
1940,17.28,15.23,13.91,11.18,9.04,7.71,7.06,8.73,10.46,11.34,12.7,16.3
1941,17.24,16.54,15.91,11.58,10.24,6.57,7.13,7.1,9.96,10.73,13.1,14.64
1942,15.24,15.57,14.68,12.98,10.5,8.06,7.78,8.58,10.33,12.65,13.69,14.28
1943,16.48,16.34,14.35,12.88,8.95,8.23,6.63,6.91,9.37,10.95,13.78,16.25
1944,16.83,16.69,14.92,13.53,9.39,7.36,7.53,7.72,9.3,11.42,12.9,13.76
1945,16.66,16.58,14.29,12.56,8.93,6.69,6.19,9.38,9.86,10.13,13.93,13.2
1946,15.69,16.58,15.32,12.92,10.9,8.39,8.38,8.29,10.1,10.8,10.62,13.63
1947,15.02,15.76,15.33,12.55,10.22,8.06,7.41,8.7,10.27,11.69,13.63,16.04
1948,17.51,16.6,15.9,12.81,10.53,7.56,8.34,8.29,10.24,11.33,13.01,15.37
1949,15.34,17.57,14.46,11.26,10.0,8.41,8.64,8.0,9.63,12.96,13.19,14.67
1950,16.49,15.71,14.53,12.04,12.0,7.89,7.33,7.51,10.21,12.31,14.06,15.41
1951,16.08,16.22,15.72,13.28,9.41,6.75,7.75,7.37,10.18,11.78,13.27,13.8
1952,15.17,17.04,14.65,13.17,10.28,7.92,6.52,8.91,10.54,12.31,13.28,15.7
1953,15.5,15.65,14.94,12.34,10.38,8.02,7.37,8.82,10.27,11.41,14.55,15.48
1954,16.6,17.82,16.5,12.18,11.1,9.24,7.4,8.07,9.78,11.6,15.08,15.78
1955,16.92,18.0,15.98,14.14,11.57,7.6,6.94,9.08,10.58,12.81,13.7,16.11
1956,19.01,17.12,14.58,15.68,11.01,9.17,7.74,8.21,10.57,12.45,13.9,15.6
1957,17.0,17.92,16.85,13.97,10.9,8.27,6.9,9.02,10.21,11.07,13.27,14.17
1958,15.71,17.95,16.31,11.97,10.37,8.0,6.54,8.45,9.5,13.11,14.45,16.34
