,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,14.57,15.47,15.37,12.97,11.67,10.57,8.87,9.67,10.07,11.87,13.57,16.37
1910,16.47,17.37,16.07,12.67,11.67,9.37,7.67,9.07,10.47,12.37,14.17,15.17
1911,15.97,14.97,16.37,15.57,11.47,9.67,8.37,8.87,10.07,11.37,12.57,13.37
1912,14.97,14.57,13.87,13.17,9.97,8.57,7.91,8.01,11.01,11.51,12.31,15.31
1913,16.31,16.01,15.31,11.71,8.31,8.51,8.91,8.91,11.41,11.81,13.21,14.11
1914,17.51,16.51,15.21,13.41,9.31,8.31,7.91,8.41,10.31,12.21,12.51,13.31
1915,16.31,15.61,13.31,12.11,10.71,8.91,9.01,8.51,11.51,13.01,12.81,15.51
1916,16.71,15.91,18.01,14.21,11.81,10.71,8.61,8.61,10.51,11.21,14.01,16.51
1917,17.51,16.71,15.81,14.51,11.91,9.71,9.51,8.91,11.41,12.41,13.71,15.31
1918,16.91,17.81,15.21,13.71,11.21,9.31,6.61,8.61,9.81,11.81,12.31,13.31
1919,14.81,16.41,14.81,12.01,10.01,8.51,7.91,9.01,9.31,11.51,11.71,13.51
1920,14.61,16.51,15.31,13.01,9.41,8.21,7.91,7.41,9.01,11.31,12.01,14.81
1921,15.91,15.81,14.81,11.61,10.51,9.41,8.21,8.51,10.31,11.81,12.21,14.51
1922,15.51,16.81,14.81,13.31,10.41,7.91,8.01,9.21,10.21,13.01,13.41,15.81
1923,16.91,15.61,14.41,11.71,11.31,8.21,7.61,7.31,10.41,11.81,14.91,16.61
1924,17.21,17.51,15.81,15.91,10.81,9.21,8.01,9.01,11.51,13.11,13.91,14.41
1925,16.51,16.01,14.81,13.01,10.61,7.81,8.31,8.21,9.61,11.81,13.01,14.91
1926,16.91,14.81,13.81,14.21,11.41,8.51,8.31,8.41,10.11,11.91,12.41,13.91
1927,16.61,17.61,15.91,12.61,10.21,7.51,8.21,8.21,10.21,12.41,11.81,13.81
1928,16.0,17.6,16.6,15.3,12.4,8.6,9.0,8.6,10.1,12.1,12.6,14.5
1929,15.8,16.2,15.5,12.8,10.3,10.1,7.8,8.2,9.1,11.4,13.1,13.9
1930,14.7,15.3,14.8,13.5,10.4,8.3,6.8,8.9,8.7,10.3,11.6,13.3
1931,15.0,13.9,14.0,12.6,10.3,8.1,8.2,7.9,8.4,11.8,14.0,15.0
1932,14.6,15.4,14.8,13.1,10.1,8.8,6.9,7.3,9.3,12.3,13.5,14.8
1933,17.1,16.7,16.4,13.6,10.4,7.9,8.0,8.4,10.2,11.4,12.8,15.5
1934,15.6,16.5,14.6,13.6,10.1,8.4,7.6,8.9,10.6,11.9,15.1,19.0
1935,19.2,18.7,16.4,14.7,10.3,8.8,7.7,9.0,8.7,11.7,11.8,16.7
1936,16.6,16.2,13.3,14.2,9.8,8.8,7.6,9.8,10.1,12.5,13.4,14.1
1937,15.4,14.4,15.1,12.9,10.9,7.5,7.5,9.3,9.7,10.9,14.0,16.5
1938,17.2,18.5,17.7,15.5,12.4,9.2,7.2,8.7,10.2,12.4,14.1,13.7
1939,14.9,15.7,15.7,13.5,11.0,10.5,6.3,8.9,10.2,11.3,13.7,15.5
1940,17.4,15.9,14.0,11.4,9.6,9.0,8.0,9.4,10.9,11.0,12.6,15.6
